CTR, t=1, c=2

0.5, 1.000    1.003+-1.8%, 1.000    1.019, 1.000    1.019, 1.000    1.098+-1.3%, 1.001    1.279+-0.8%, 1.002    1.312+-0.9%, 1.002    1.337+-0.6%, 1.004    1.375, 1.004    1.375+-0.9%, 1.005    1.385
0.1, 1.000    1.016+-0.7%, 1.000    1.030, 1.000    1.027+-0.7%, 1.000    1.132, 1.001    1.386, 1.003    1.471+-0.7%, 1.006    1.516, 1.017    1.567+-0.6%, 1.024    1.570, 1.030    1.584
0.05, 1.000    1.021, 1.000    1.032+-0.5%, 1.000    1.043+-0.5%, 1.000    1.135, 1.001    1.410, 1.004    1.504, 1.008    1.568, 1.028    1.633, 1.042    1.631, 1.060    1.639
0.03, 1.000    1.022, 1.000    1.035, 1.000    1.041, 1.000    1.140+-0.5%, 1.002    1.420, 1.004    1.522, 1.010    1.595, 1.038    1.660, 1.059    1.666, 1.094    1.659
0.01, 1.000    1.023+-1.2%, 1.000    1.038, 1.000    1.042, 1.000    1.126+-1.1%, 1.002    1.423, 1.005    1.550+-0.7%, 1.012    1.631, 1.054    1.711, 1.093    1.705, 1.187    1.646
0.005, 1.000    1.029, 1.000    1.052+-1.3%, 1.000    1.045+-0.7%, 1.000    1.123+-0.6%, 1.002    1.439, 1.005    1.565, 1.013    1.642, 1.059    1.724, 1.107    1.688, 1.252    1.597+-0.5%
0.001, 1.000    1.031, 1.000    1.059, 1.000    1.039+-1.1%, 1.000    1.136, 1.002    1.434+-0.9%, 1.006    1.573, 1.014    1.649+-0.7%, 1.065    1.731, 1.377+-25.8%    1.076+-52.1%, 1.364+-1.1%    1.529+-0.5%



CTR, t=8, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000+-0.8%, 1.000    1.002+-1.7%, 1.000    1.017, 1.000    1.089+-0.8%, 1.002    1.233, 1.003    1.240, 1.004    1.265, 1.005    1.275+-0.8%, 1.006    1.280, 1.006    1.295+-0.8%
0.95, 1.000    0.997, 1.000    1.004, 1.000    1.011, 1.000    1.081+-0.7%, 1.002    1.218, 1.003    1.245, 1.004    1.259+-0.8%, 1.005    1.271, 1.007    1.330, 1.007    1.327+-1.1%
0.9, 1.000    1.011+-0.6%, 1.000    1.024, 1.000    1.016+-0.5%, 1.000    1.076, 1.002    1.222, 1.003    1.247, 1.004    1.260, 1.006    1.276, 1.006    1.289+-1.8%, 1.007    1.279
0.5, 1.000    1.003+-0.5%, 1.000    1.007+-0.8%, 1.000    1.005, 1.000    1.095+-1.4%, 1.003    1.251+-0.5%, 1.004    1.289+-1.9%, 1.006    1.317, 1.009    1.317, 1.010    1.328, 1.011    1.333+-1.3%
0.1, 1.000    1.020, 1.000    1.024+-1.6%, 1.000    1.026+-0.7%, 1.001    1.113, 1.004    1.317, 1.009    1.400+-1.2%, 1.015    1.423, 1.032    1.478+-0.7%, 1.039    1.473+-2.3%, 1.047    1.491+-2.2%
0.05, 1.000    1.007+-2.5%, 1.000    1.017+-0.6%, 1.000    1.027, 1.001    1.113+-0.8%, 1.004    1.340, 1.011    1.447, 1.021    1.463, 1.047    1.534, 1.061    1.550+-0.7%, 1.077    1.531+-0.9%
0.03, 1.000    1.027, 1.000    1.017+-0.9%, 1.000    1.026+-0.8%, 1.001    1.110+-2.8%, 1.005    1.358+-1.2%, 1.012    1.450+-0.8%, 1.023    1.484+-0.6%, 1.059    1.571+-1.5%, 1.081    1.592+-1.8%, 1.106    1.599+-1.6%
0.01, 1.000    1.018, 1.000    1.015, 1.000    1.032+-1.1%, 1.001    1.109, 1.005    1.357, 1.014    1.463+-3.0%, 1.028    1.540+-0.5%, 1.079    1.651, 1.121    1.653+-0.8%, 1.201    1.646
0.005, 1.000    1.023+-1.6%, 1.000    1.077+-0.8%, 1.000    1.032+-0.9%, 1.001    1.115, 1.005    1.365, 1.014    1.491+-0.5%, 1.030    1.576+-1.0%, 1.088    1.674+-0.5%, 1.146    1.465+-2.8%, 1.275    1.402+-1.4%
0.001, 1.000    1.031, 1.000    1.088, 1.000    1.022, 1.001    1.111+-1.0%, 1.005    1.376+-1.7%, 1.015    1.513, 1.031    1.566+-1.4%, 1.099    1.683+-0.9%, 1.174    1.488+-1.0%, 1.402    1.443+-1.8%



CTR, t=16, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.001    1.000, 1.001    1.013+-1.2%, 1.001    1.007, 1.001    1.086+-1.3%, 1.006    1.203, 1.009    1.253, 1.011    1.194, 1.014    1.233+-4.4%, 1.014    1.248+-2.4%, 1.015    1.259
0.95, 1.001    0.999+-1.0%, 1.001    1.088, 1.001    1.112+-0.7%, 1.001    1.157, 1.317+-33.3%    0.947+-37.8%, 1.010    1.278+-3.1%, 1.013    1.327, 1.017    1.316, 1.018    1.302+-1.4%, 1.019    1.322
