CTR, t=1, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    0.999, 1.000    0.998, 1.000    1.013, 1.000    1.062, 1.000    1.061, 1.000    1.077, 1.001    1.080, 1.002    1.057, 1.029    1.024
0.95, 1.000    1.000, 1.000    1.003, 1.000    1.009, 1.000    1.008, 1.000    1.063, 1.000    1.077, 1.000    1.075, 1.001    1.037, 1.002    1.085, 1.032    1.046
0.9, 1.000    1.003, 1.000    1.005, 1.000    1.006, 1.000    1.018, 1.000    1.069, 1.000    1.080, 1.000    1.080, 1.001    1.085, 1.002    1.089, 1.031    1.047
0.5, 1.000    1.001, 1.000    0.994, 1.000    0.996, 1.000    1.013, 1.000    1.063, 1.000    1.070, 1.000    1.083, 1.000    1.086, 1.002    1.090, 1.030    1.043
0.1, 1.000    1.008, 1.000    1.004, 1.000    1.006, 1.000    1.020, 1.000    1.076, 1.000    1.094, 1.000    1.091, 1.001    1.100, 1.002    1.101, 1.027    1.063
0.05, 1.000    1.009, 1.000    0.966, 1.000    1.001, 1.000    1.021, 1.000    1.083, 1.000    1.091, 1.000    1.095, 1.001    1.102, 1.002    1.105, 1.025    1.072
0.03, 1.000    1.006, 1.000    1.005, 1.000    1.004, 1.000    1.024, 1.000    1.085, 1.000    1.088, 1.000    1.106, 1.001    1.109, 1.002    1.107, 1.027    1.073
0.01, 1.000    1.008, 1.000    1.001, 1.000    1.010, 1.000    1.025, 1.000    1.084, 1.000    1.097, 1.000    1.106, 1.001    1.112, 1.002    1.094, 1.026    1.085
0.005, 1.000    1.007, 1.000    1.013, 1.000    1.013, 1.000    1.033, 1.000    1.105, 1.000    1.114, 1.000    1.116, 1.001    1.124, 1.003    1.106, 1.026    1.094
0.001, 1.000    1.016, 1.000    1.014, 1.000    1.012, 1.000    1.043, 1.000    1.105, 1.000    1.114, 1.001    1.103, 1.002    1.118, 1.005    1.111, 1.018    1.102



CTR, t=2, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.013, 1.000    1.019, 1.000    1.100, 1.000    1.260, 1.000    1.281, 1.000    1.301, 1.000    1.313, 1.000    1.313, 1.000    1.329
0.95, 1.000    1.010, 1.000    1.023, 1.000    1.026, 1.000    1.122, 1.000    1.264, 1.000    1.296, 1.000    1.308, 1.000    1.330, 1.000    1.345, 1.000    1.337
0.9, 1.000    1.000, 1.000    1.028, 1.000    1.038, 1.000    1.123, 1.000    1.268, 1.000    1.305, 1.000    1.306, 1.000    1.325, 1.000    1.329, 1.000    1.354
0.5, 1.000    1.008, 1.000    1.039, 1.000    1.040, 1.000    1.142, 1.000    1.316, 1.000    1.363, 1.000    1.388, 1.000    1.423, 1.000    1.416, 1.000    1.423
0.1, 1.000    1.052, 1.000    1.034, 1.000    1.055, 1.000    1.170, 1.000    1.450, 1.000    1.508, 1.000    1.534, 1.001    1.575, 1.001    1.576, 1.002    1.580
0.05, 1.000    1.039, 1.000    1.071, 1.000    1.071, 1.000    1.167, 1.000    1.478, 1.000    1.541, 1.000    1.578, 1.001    1.611, 1.002    1.624, 1.006    1.621
0.03, 1.000    1.050, 1.000    1.074, 1.000    1.075, 1.000    1.186, 1.000    1.478, 1.000    1.560, 1.000    1.575, 1.002    1.637, 1.003    1.640, 1.010    1.644
0.01, 1.000    1.060, 1.000    1.059, 1.000    1.073, 1.000    1.208, 1.000    1.480, 1.000    1.568, 1.001    1.614, 1.003    1.662, 1.007    1.661, 1.024    1.653
0.005, 1.000    1.049, 1.000    1.069, 1.000    1.077, 1.000    1.188, 1.000    1.456, 1.000    1.590, 1.001    1.627, 1.003    1.661, 1.009    1.672, 1.036    1.660
