CTR, t=1, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
0.95, 1.000    0.994, 1.000    1.012, 1.000    0.997, 1.000    1.052, 1.000    1.225, 1.000    1.244, 1.000    1.282, 1.000    1.297, 1.000    1.276, 1.000    1.283
0.9, 1.000    1.025, 1.000    0.992, 1.000    0.999, 1.000    1.083, 1.000    1.213, 1.000    1.235, 1.000    1.269, 1.000    1.296, 1.000    1.284, 1.000    1.298
0.5, 1.000    0.986, 1.000    0.980, 1.000    1.020, 1.000    1.082, 1.000    1.242, 1.000    1.320, 1.000    1.315, 1.000    1.338, 1.000    1.371, 1.000    1.369
0.1, 1.000    1.032, 1.000    1.002, 1.000    1.021, 1.000    1.103, 1.000    1.325, 1.000    1.423, 1.000    1.467, 1.001    1.570, 1.001    1.529, 1.001    1.609
0.05, 1.000    1.023, 1.000    1.026, 1.000    1.025, 1.000    1.130, 1.000    1.363, 1.000    1.497, 1.000    1.559, 1.001    1.616, 1.002    1.699, 1.002    1.644
0.03, 1.000    1.023, 1.000    0.999, 1.000    1.023, 1.000    1.087, 1.000    1.376, 1.000    1.510, 1.001    1.547, 1.002    1.696, 1.003    1.757, 1.004    1.810
0.01, 1.000    1.048, 1.000    1.023, 1.000    1.049, 1.000    1.103, 1.000    1.430, 1.000    1.523, 1.001    1.611, 1.004    1.795, 1.007    1.903, 1.016    1.977
0.005, 1.000    1.010, 1.000    1.031, 1.000    1.027, 1.000    1.087, 1.000    1.414, 1.000    1.507, 1.001    1.674, 1.005    1.853, 1.012    1.765, 1.033    1.819
0.001, 1.000    1.043, 1.000    1.004, 1.000    1.048, 1.000    1.129, 1.000    1.420, 1.000    1.559, 1.001    1.618, 1.006    1.936, 1.018    1.822, 1.069    1.951



CTR, t=16, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    0.971, 1.000    0.992, 1.000    0.988, 1.000    1.159, 1.000    1.199, 1.000    1.208, 1.000    1.229, 1.000    1.224, 1.000    1.249
0.95, 1.000    1.010, 1.000    0.962, 1.000    0.968, 1.000    1.042, 1.000    1.169, 1.000    1.190, 1.000    1.246, 1.000    1.244, 1.000    1.239, 1.000    1.235
0.9, 1.000    1.013, 1.000    1.006, 1.000    1.004, 1.000    1.059, 1.000    1.198, 1.000    1.240, 1.000    1.212, 1.000    1.256, 1.000    1.261, 1.000    1.257
0.5, 1.000    1.007, 1.000    0.963, 1.000    1.006, 1.000    1.017, 1.000    1.199, 1.000    1.221, 1.000    1.254, 1.000    1.259, 1.000    1.304, 1.000    1.278
0.1, 1.000    0.987, 1.000    1.013, 1.000    1.008, 1.000    1.030, 1.000    1.230, 1.000    1.340, 1.001    1.296, 1.001    1.416, 1.001    1.471, 1.002    1.484
0.05, 1.000    0.979, 1.000    0.982, 1.000    1.026, 1.000    1.082, 1.000    1.285, 1.001    1.331, 1.001    1.465, 1.002    1.504, 1.003    1.535, 1.003    1.533
0.03, 1.000    1.009, 1.000    1.010, 1.000    0.999, 1.000    1.020, 1.000    1.329, 1.001    1.431, 1.001    1.419, 1.003    1.562, 1.004    1.631, 1.007    1.663
0.01, 1.000    1.024, 1.000    1.012, 1.000    1.031, 1.000    1.064, 1.000    1.291, 1.001    1.409, 1.002    1.539, 1.006    1.622, 1.009    1.678, 1.015    1.795
0.005, 1.000    1.002, 1.000    1.011, 1.000    1.032, 1.000    1.067, 1.000    1.348, 1.001    1.461, 1.002    1.537, 1.007    1.688, 1.011    1.920, 1.022    1.971
