G, t=1000, c=1

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.001    1.000, 1.001    1.007, 1.001    1.007, 1.001    1.000, 1.001    1.049, 1.001    1.058, 1.001    1.051, 1.001    1.048, 1.002    1.043, 1.003    1.021
0.95, 1.001    1.009, 1.001    1.008, 1.001    1.003, 1.001    1.011, 1.001    1.053, 1.001    1.047, 1.001    1.050, 1.001    1.046, 1.001    1.035, 1.002    1.024
0.9, 1.001    0.988, 1.001    1.009, 1.001    0.993, 1.001    1.015, 1.001    1.043, 1.001    1.043, 1.001    1.051, 1.001    1.045, 1.001    1.007, 1.002    1.022
0.5, 1.001    1.001, 1.001    1.006, 1.001    1.006, 1.001    1.010, 1.001    1.045, 1.001    1.050, 1.002    1.042, 1.001    1.047, 1.001    1.029, 1.002    1.025
0.1, 1.000    0.977, 1.000    1.001, 1.000    1.004, 1.000    1.019, 1.000    1.049, 1.001    1.063, 1.001    1.065, 1.001    1.056, 1.001    1.037, 1.002    1.034
0.05, 1.000    0.998, 1.000    1.004, 1.000    1.001, 1.000    1.021, 1.000    1.055, 1.000    1.053, 1.001    1.068, 1.001    1.055, 1.001    1.054, 1.001    1.019
0.03, 1.000    0.991, 1.000    0.972, 1.000    0.985, 1.000    1.008, 1.000    1.044, 1.000    1.006, 1.000    1.054, 1.000    1.061, 1.001    1.055, 1.001    1.035
0.01, 1.000    1.004, 1.000    1.003, 1.000    1.001, 1.000    1.010, 1.000    1.050, 1.000    1.063, 1.000    1.008, 1.000    1.064, 1.000    1.058, 1.001    1.042
0.005, 1.000    1.000, 1.000    1.005, 1.000    0.984, 1.000    1.018, 1.000    1.058, 1.000    1.063, 1.000    1.056, 1.000    1.072, 1.000    1.065, 1.001    1.049
0.001, 1.000    0.960, 1.000    1.001, 1.000    0.961, 1.000    1.018, 1.000    1.033, 1.000    1.064, 1.000    1.068, 1.000    1.070, 1.000    1.049, 1.000    1.056



G, t=1000, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.002    1.000, 1.002    1.008, 1.002    1.005, 1.002    1.097, 1.002    1.264, 1.001    1.298, 1.001    1.307, 1.002    1.336, 1.002    1.333, 1.002    1.335
0.95, 1.002    1.006, 1.002    1.008, 1.002    1.009, 1.002    1.088, 1.002    1.248, 1.002    1.304, 1.002    1.310, 1.002    1.324, 1.002    1.339, 1.002    1.330
0.9, 1.002    1.005, 1.002    1.013, 1.002    1.018, 1.002    1.102, 1.001    1.270, 1.002    1.306, 1.002    1.317, 1.001    1.332, 1.002    1.338, 1.001    0.649
0.5, 1.002    1.007, 1.002    1.014, 1.001    1.019, 1.002    1.111, 1.002    1.277, 1.001    1.321, 1.001    1.339, 1.002    1.341, 1.002    1.351, 1.001    1.356
0.1, 1.001    1.006, 1.002    1.020, 1.002    1.028, 1.002    1.100, 1.001    1.311, 1.001    1.350, 1.001    1.353, 1.001    1.373, 1.001    1.384, 1.001    1.379
0.05, 1.001    1.006, 1.001    1.015, 1.002    1.034, 1.001    1.120, 1.001    1.314, 1.001    1.358, 1.001    1.380, 1.001    1.390, 1.001    1.390, 1.001    1.367
0.03, 1.001    0.995, 1.001    1.006, 1.001    0.996, 1.001    1.121, 1.001    1.281, 1.001    1.347, 1.001    1.381, 1.001    1.409, 1.001    1.400, 1.001    1.396
0.01, 1.002    1.009, 1.002    1.012, 1.001    1.028, 1.001    1.124, 1.001    1.323, 1.001    1.365, 1.000    1.386, 1.001    1.415, 1.001    1.421, 1.001    1.430
0.005, 1.001    1.007, 1.001    1.022, 1.002    1.021, 1.001    1.115, 1.001    1.313, 1.000    1.365, 1.001    1.392, 1.000    1.424, 1.000    1.437, 1.000    1.430
0.001, 1.001    1.017, 1.001    1.023, 1.001    1.033, 1.001    1.117, 1.001    1.310, 1.001    1.362, 1.001    1.391, 1.001    1.424, 1.000    1.441, 1.001    1.423



G, t=1000, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.002    1.000, 1.002    1.012, 1.003    1.025, 1.002    1.129, 1.002    1.334, 1.002    1.379, 1.002    1.391, 1.002    1.425, 1.002    1.426, 1.002    1.437
0.95, 1.003    1.009, 1.003    1.021, 1.002    1.032, 1.002    1.138, 1.002    1.352, 1.002    1.396, 1.002    1.414, 1.002    1.440, 1.002    1.446, 1.002    1.456
0.9, 1.002    1.002, 1.002    1.022, 1.003    1.029, 1.002    1.134, 1.002    1.336, 1.002    1.393, 1.002    1.421, 1.002    1.425, 1.002    1.427, 1.002    1.426
0.5, 1.002    1.007, 1.003    1.022, 1.002    1.037, 1.002    1.147, 1.002    1.360, 1.002    1.416, 1.002    1.445, 1.002    1.472, 1.002    1.468, 1.002    1.487
0.1, 1.002    1.010, 1.002    1.034, 1.002    1.042, 1.002    1.148, 1.001    1.382, 1.001    1.448, 1.001    1.468, 1.001    1.511, 1.001    1.525, 1.002    1.549
0.05, 1.002    1.016, 1.002    1.031, 1.002    1.043, 1.002    1.154, 1.001    1.380, 1.001    1.454, 1.001    1.489, 1.001    1.525, 1.001    1.541, 1.002    1.555
0.03, 1.002    1.017, 1.002    1.031, 1.002    1.041, 1.002    1.140, 1.001    1.396, 1.001    1.468, 1.001    1.483, 1.001    1.535, 1.001    1.552, 1.001    1.580
0.01, 1.002    1.017, 1.002    1.029, 1.002    1.025, 1.002    1.158, 1.001    1.401, 1.001    1.468, 1.001    1.506, 1.001    1.558, 1.001    1.574, 1.002    1.584
0.005, 1.002    0.999, 1.002    1.024, 1.002    1.029, 1.002    1.143, 1.001    1.382, 1.001    1.453, 1.001    1.464, 1.001    1.556, 1.001    1.571, 1.002    1.572
0.001, 1.002    1.015, 1.002    1.023, 1.002    1.035, 1.002    1.149, 1.001    1.382, 1.001    1.457, 1.001    1.487, 1.001    1.557, 1.001    1.577, 1.001    1.594



G, t=1000, c=8

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.003    1.000, 1.003    1.003, 1.003    1.023, 1.003    1.130, 1.002    1.359, 1.002    1.372, 1.002    1.410, 1.002    1.454, 1.002    1.479, 1.002    1.480
0.95, 1.003    1.008, 1.003    1.016, 1.003    1.029, 1.003    1.145, 1.002    1.365, 1.002    1.410, 1.002    1.460, 1.002    1.491, 1.002    1.493, 1.002    1.500
0.9, 1.003    1.006, 1.003    1.013, 1.003    1.012, 1.003    1.138, 1.002    1.368, 1.003    1.430, 1.002    1.451, 1.002    1.489, 1.002    1.477, 1.002    1.483
0.5, 1.003    1.004, 1.003    1.016, 1.003    1.030, 1.003    1.146, 1.002    1.390, 1.002    1.443, 1.002    1.484, 1.002    1.522, 1.002    1.527, 1.002    1.513
0.1, 1.003    1.015, 1.003    1.028, 1.003    1.040, 1.002    1.138, 1.002    1.413, 1.001    1.487, 1.001    1.529, 1.001    1.565, 1.001    1.588, 1.002    1.609
0.05, 1.003    1.012, 1.003    1.004, 1.003    1.036, 1.003    1.148, 1.002    1.430, 1.002    1.498, 1.001    1.525, 1.001    1.588, 1.002    1.598, 1.002    1.628
0.03, 1.003    1.012, 1.003    1.020, 1.002    1.031, 1.002    1.159, 1.001    1.398, 1.001    1.494, 1.001    1.536, 1.001    1.587, 1.001    1.611, 1.002    1.620
0.01, 1.003    1.013, 1.003    1.029, 1.003    1.037, 1.002    1.163, 1.001    1.422, 1.001    1.486, 1.001    1.510, 1.001    1.599, 1.001    1.629, 1.003    1.676
0.005, 1.002    1.017, 1.003    1.018, 1.003    1.036, 1.002    1.157, 1.001    1.429, 1.001    1.490, 1.001    1.523, 1.001    1.614, 1.001    1.626, 1.003    1.663
0.001, 1.002    1.007, 1.003    1.021, 1.003    1.028, 1.002    1.154, 1.002    1.406, 1.001    1.483, 1.001    1.519, 1.001    1.571, 1.001    1.636, 1.004    1.663



G, t=1000, c=16

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.004    1.000, 1.004    1.028, 1.004    1.039, 1.003    1.156, 1.003    1.390, 1.003    1.437, 1.002    1.462, 1.002    1.495, 1.002    1.493, 1.002    1.520
0.95, 1.004    1.028, 1.004    1.025, 1.004    1.043, 1.003    1.171, 1.003    1.410, 1.002    1.470, 1.002    1.486, 1.002    1.507, 1.002    1.532, 1.002    1.514
0.9, 1.004    1.028, 1.003    1.040, 1.004    1.044, 1.003    1.168, 1.002    1.398, 1.003    1.458, 1.002    1.475, 1.002    1.531, 1.002    1.546, 1.003    1.551
0.5, 1.003    1.033, 1.004    1.040, 1.003    1.053, 1.003    1.170, 1.002    1.400, 1.002    1.484, 1.002    1.519, 1.002    1.564, 1.002    1.566, 1.002    1.573
0.1, 1.003    1.029, 1.003    1.043, 1.003    1.060, 1.003    1.164, 1.002    1.437, 1.002    1.523, 1.002    1.552, 1.002    1.615, 1.002    1.661, 1.003    1.674
0.05, 1.004    1.018, 1.003    1.040, 1.003    1.042, 1.002    1.179, 1.002    1.444, 1.002    1.526, 1.002    1.561, 1.002    1.642, 1.002    1.662, 1.004    1.693
0.03, 1.003    1.031, 1.003    1.041, 1.003    1.054, 1.003    1.182, 1.002    1.441, 1.002    1.535, 1.001    1.555, 1.002    1.641, 1.002    1.684, 1.005    1.694
0.01, 1.003    1.027, 1.003    1.041, 1.003    1.048, 1.002    1.179, 1.001    1.455, 1.002    1.536, 1.001    1.546, 1.001    1.654, 1.002    1.634, 1.007    1.731
