G, t=1000, c=1

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.001    1.000, 1.001    1.000, 1.000    0.998, 1.000    1.006, 1.001    1.018, 1.001    1.040, 1.001    1.048, 1.001    1.038, 1.001    1.033, 1.002    1.022
0.95, 1.000    0.990, 1.000    0.993, 1.000    0.997, 1.001    1.009, 1.001    1.042, 1.001    1.044, 1.001    1.032, 1.001    1.028, 1.001    0.993, 1.002    1.019
0.9, 1.000    0.951, 1.000    1.001, 1.000    1.003, 1.000    1.010, 1.001    1.036, 1.001    1.041, 1.001    1.039, 1.002    1.029, 1.001    1.031, 1.001    1.016
0.5, 1.001    0.999, 1.000    0.995, 1.000    0.969, 1.000    1.007, 1.001    1.007, 1.001    1.040, 1.001    1.040, 1.001    1.046, 1.001    1.032, 1.002    1.024
0.1, 1.000    0.993, 1.000    0.999, 1.000    1.002, 1.000    1.001, 1.000    1.041, 1.000    1.051, 1.000    1.050, 1.001    1.040, 1.000    1.044, 1.001    1.024
0.05, 1.000    1.000, 1.000    0.995, 1.000    1.002, 1.000    1.008, 1.000    1.041, 1.000    1.025, 1.000    1.038, 1.001    1.043, 1.000    1.042, 1.001    1.028
0.03, 1.000    0.994, 1.000    1.003, 1.000    0.973, 1.000    1.013, 1.000    1.044, 1.000    1.054, 1.000    1.052, 1.000    1.043, 1.000    1.044, 1.001    1.026
0.01, 1.000    0.998, 1.000    1.001, 1.000    0.997, 1.000    1.010, 1.000    1.002, 1.000    1.040, 1.000    1.053, 1.000    1.050, 1.000    1.043, 1.000    1.038
0.005, 1.000    0.974, 1.000    1.000, 1.000    0.993, 1.000    1.014, 1.000    1.048, 1.000    1.052, 1.000    1.052, 1.000    1.048, 1.000    1.051, 1.001    1.041
0.001, 1.000    0.998, 1.000    0.996, 1.000    0.995, 1.000    0.981, 1.000    1.035, 1.000    0.975, 1.000    1.052, 1.000    1.057, 1.000    1.047, 1.000    1.045



G, t=1000, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.002    1.000, 1.002    1.020, 1.002    1.027, 1.002    1.110, 1.001    1.287, 1.001    1.332, 1.002    1.342, 1.002    1.373, 1.002    1.327, 1.002    1.381
0.95, 1.002    0.971, 1.002    1.020, 1.002    1.026, 1.002    1.102, 1.001    1.288, 1.001    1.310, 1.002    1.335, 1.002    1.376, 1.002    1.377, 1.001    1.385
0.9, 1.001    1.005, 1.002    1.021, 1.002    1.027, 1.001    1.110, 1.001    1.289, 1.002    1.333, 1.001    1.345, 1.001    1.376, 1.002    1.388, 1.001    1.377
0.5, 1.002    1.003, 1.002    1.017, 1.002    1.029, 1.001    1.117, 1.001    1.311, 1.001    1.348, 1.001    1.371, 1.001    1.397, 1.001    1.404, 1.001    1.398
0.1, 1.002    1.016, 1.001    1.023, 1.001    1.024, 1.001    1.116, 1.001    1.323, 1.001    1.387, 1.001    1.401, 1.001    1.441, 1.001    1.449, 1.001    1.463
0.05, 1.001    1.020, 1.001    0.997, 1.001    1.038, 1.001    1.131, 1.001    1.338, 1.001    1.404, 1.001    1.419, 1.001    1.457, 1.001    1.454, 1.001    1.472
0.03, 1.002    1.022, 1.001    1.023, 1.001    1.028, 1.001    1.131, 1.001    1.349, 1.001    1.406, 1.001    1.430, 1.001    1.430, 1.001    1.472, 1.001    1.479
0.01, 1.001    1.014, 1.001    1.026, 1.001    1.038, 1.001    1.132, 1.001    1.343, 1.000    1.403, 1.000    1.426, 1.000    1.478, 1.001    1.493, 1.000    1.491
0.005, 1.001    1.018, 1.001    1.037, 1.001    1.037, 1.001    1.130, 1.001    1.352, 1.000    1.403, 1.000    1.446, 1.000    1.491, 1.001    1.501, 1.000    1.505
0.001, 1.001    1.013, 1.001    0.994, 1.001    1.040, 1.001    1.129, 1.001    1.353, 1.001    1.376, 1.000    1.446, 1.000    1.491, 1.001    1.431, 1.000    1.504



G, t=1000, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.002    1.000, 1.002    1.006, 1.003    1.013, 1.002    1.131, 1.002    1.368, 1.002    1.424, 1.002    1.457, 1.002    1.492, 1.002    1.494, 1.002    1.511
0.95, 1.002    0.995, 1.003    1.003, 1.003    1.012, 1.002    1.114, 1.002    1.374, 1.002    1.427, 1.002    1.454, 1.002    1.499, 1.002    1.499, 1.002    1.502
0.9, 1.003    0.999, 1.002    1.006, 1.002    1.017, 1.002    1.134, 1.002    1.359, 1.002    1.435, 1.002    1.452, 1.002    1.487, 1.002    1.504, 1.002    1.511
0.5, 1.003    0.999, 1.002    1.014, 1.003    1.015, 1.002    1.137, 1.002    1.389, 1.002    1.460, 1.001    1.488, 1.001    1.496, 1.002    1.539, 1.002    1.548
0.1, 1.002    1.004, 1.002    1.008, 1.002    1.019, 1.002    1.149, 1.001    1.419, 1.001    1.495, 1.001    1.542, 1.001    1.589, 1.001    1.616, 1.001    1.627
0.05, 1.002    1.002, 1.002    0.998, 1.002    1.010, 1.002    1.152, 1.001    1.427, 1.001    1.506, 1.001    1.545, 1.001    1.606, 1.001    1.632, 1.001    1.619
0.03, 1.002    0.994, 1.002    1.007, 1.002    1.024, 1.002    1.140, 1.001    1.429, 1.001    1.519, 1.001    1.551, 1.001    1.615, 1.001    1.641, 1.001    1.657
0.01, 1.002    1.002, 1.002    1.011, 1.002    1.009, 1.002    1.136, 1.001    1.428, 1.001    1.497, 1.001    1.565, 1.001    1.634, 1.001    1.655, 1.001    1.664
0.005, 1.002    1.007, 1.002    1.012, 1.002    1.023, 1.002    1.144, 1.001    1.429, 1.001    1.506, 1.001    1.570, 1.001    1.649, 1.001    1.673, 1.001    1.700
0.001, 1.002    1.000, 1.002    1.017, 1.002    1.027, 1.002    1.143, 1.001    1.426, 1.001    1.517, 1.001    1.570, 1.001    1.645, 1.000    1.677, 1.000    1.721



G, t=1000, c=8

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.003    1.000, 1.003    1.006, 1.003    1.022, 1.003    1.140, 1.002    1.409, 1.002    1.473, 1.002    1.476, 1.002    1.534, 1.002    1.557, 1.003    1.562
0.95, 1.003    0.979, 1.003    1.007, 1.003    1.019, 1.003    1.140, 1.002    1.400, 1.002    1.470, 1.002    1.503, 1.002    1.513, 1.002    1.557, 1.002    1.543
0.9, 1.003    0.997, 1.003    1.007, 1.003    1.023, 1.003    1.148, 1.003    1.403, 1.002    1.472, 1.002    1.504, 1.002    1.523, 1.002    1.560, 1.002    1.567
0.5, 1.003    1.000, 1.003    1.005, 1.003    1.022, 1.003    1.153, 1.002    1.427, 1.002    1.505, 1.002    1.532, 1.002    1.589, 1.002    1.603, 1.002    1.598
0.1, 1.003    1.002, 1.003    1.014, 1.002    1.031, 1.003    1.160, 1.002    1.456, 1.002    1.538, 1.002    1.588, 1.002    1.650, 1.001    1.675, 1.001    1.695
