G, t=1000, c=1

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
0.95, 0.552    0.993, 0.551    1.004, 0.552    1.016, 0.551    1.132, 0.551    1.349, 0.551    1.399, 0.551    1.402, 0.551    1.455, 0.551    1.468, 0.551    1.462
0.9, 0.552    1.000, 0.552    1.005, 0.552    1.023, 0.551    1.125, 0.551    1.349, 0.551    1.403, 0.551    1.420, 0.551    1.456, 0.551    1.441, 0.551    1.462
0.5, 0.552    0.995, 0.551    1.008, 0.551    1.019, 0.551    1.135, 0.551    1.365, 0.551    1.417, 0.551    1.443, 0.551    1.485, 0.551    1.489, 0.551    1.508
0.1, 0.551    0.993, 0.551    1.012, 0.551    1.027, 0.551    1.149, 0.551    1.396, 0.551    1.450, 0.551    1.496, 0.550    1.526, 0.551    1.560, 0.552    1.575
0.05, 0.551    1.003, 0.551    1.009, 0.551    1.029, 0.551    1.149, 0.551    1.405, 0.551    1.453, 0.551    1.496, 0.551    1.547, 0.551    1.545, 0.552    1.587
0.03, 0.551    0.998, 0.551    1.013, 0.551    1.022, 0.551    1.145, 0.550    1.389, 0.551    1.462, 0.550    1.501, 0.551    1.564, 0.551    1.576, 0.552    1.613
0.01, 0.551    1.003, 0.551    1.006, 0.551    1.022, 0.551    1.147, 0.550    1.402, 0.550    1.467, 0.551    1.498, 0.550    1.563, 0.551    1.586, 0.552    1.633
0.005, 0.551    0.996, 0.551    1.010, 0.551    1.020, 0.551    1.146, 0.550    1.397, 0.550    1.475, 0.550    1.506, 0.550    1.572, 0.551    1.576, 0.553    1.634
0.001, 0.551    1.002, 0.551    1.018, 0.551    1.024, 0.551    1.136, 0.550    1.402, 0.550    1.472, 0.550    1.510, 0.550    1.569, 0.551    1.561, 0.553    1.628



G, t=1000, c=16

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 0.552    1.000, 0.552    1.011, 0.552    1.020, 0.552    1.135, 0.551    1.364, 0.551    1.414, 0.551    1.443, 0.551    1.472, 0.551    1.474, 0.551    1.487
0.95, 0.552    0.996, 0.552    0.991, 0.552    1.016, 0.552    1.142, 0.551    1.357, 0.551    1.410, 0.551    1.436, 0.551    1.474, 0.551    1.464, 0.551    1.461
0.9, 0.552    1.001, 0.552    1.005, 0.552    1.020, 0.551    1.145, 0.551    1.356, 0.551    1.408, 0.551    1.442, 0.551    1.456, 0.551    1.463, 0.551    1.497
0.5, 0.552    1.002, 0.552    1.009, 0.552    1.014, 0.551    1.115, 0.551    1.381, 0.551    1.448, 0.551    1.471, 0.551    1.503, 0.551    1.508, 0.551    1.532
0.1, 0.552    0.979, 0.552    1.005, 0.551    1.032, 0.551    1.141, 0.551    1.403, 0.551    1.473, 0.551    1.507, 0.551    1.558, 0.552    1.571, 0.553    1.612
0.05, 0.551    1.005, 0.551    1.006, 0.551    1.025, 0.551    1.146, 0.551    1.407, 0.551    1.471, 0.550    1.517, 0.551    1.551, 0.551    1.603, 0.554    1.626
0.03, 0.551    1.003, 0.551    1.013, 0.551    1.029, 0.551    1.156, 0.551    1.414, 0.551    1.489, 0.551    1.507, 0.551    1.577, 0.552    1.578, 0.555    1.649
0.01, 0.551    1.005, 0.551    1.014, 0.552    1.024, 0.551    1.144, 0.551    1.415, 0.551    1.480, 0.551    1.519, 0.551    1.601, 0.552    1.610, 0.555    1.686
0.005, 0.551    1.002, 0.551    1.016, 0.551    1.016, 0.551    1.146, 0.551    1.398, 0.550    1.476, 0.551    1.520, 0.551    1.582, 0.551    1.619, 0.555    1.681
0.001, 0.551    0.992, 0.551    1.005, 0.551    1.012, 0.551    1.142, 0.551    1.398, 0.550    1.477, 0.550    1.504, 0.551    1.574, 0.551    1.625, 0.556    1.680



G, t=1000, c=32

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 0.552    1.000, 0.552    1.016, 0.552    1.028, 0.552    1.156, 0.551    1.472, 0.551    1.515, 0.551    1.549, 0.551    1.616, 0.551    1.638, 0.552    1.651
0.95, 0.552    0.998, 0.552    1.012, 0.552    1.027, 0.552    1.173, 0.551    1.433, 0.551    1.548, 0.551    1.563, 0.551    1.621, 0.551    1.613, 0.551    1.660
0.9, 0.552    0.999, 0.552    1.017, 0.552    1.032, 0.551    1.170, 0.551    1.464, 0.551    1.525, 0.551    1.595, 0.551    1.642, 0.551    1.614, 0.552    1.651
0.5, 0.552    1.001, 0.551    1.010, 0.552    1.035, 0.552    1.171, 0.551    1.501, 0.551    1.588, 0.551    1.616, 0.551    1.688, 0.552    1.706, 0.552    1.748
0.1, 0.551    1.008, 0.552    1.029, 0.552    1.044, 0.551    1.193, 0.551    1.540, 0.551    1.646, 0.551    1.709, 0.552    1.794, 0.552    1.846, 0.555    1.907
0.05, 0.551    1.014, 0.552    1.022, 0.551    1.028, 0.551    1.190, 0.551    1.552, 0.551    1.661, 0.551    1.716, 0.551    1.808, 0.552    1.886, 0.560    1.916
0.03, 0.551    1.011, 0.551    1.021, 0.551    1.033, 0.551    1.199, 0.551    1.554, 0.551    1.656, 0.551    1.693, 0.552    1.826, 0.554    1.908, 0.559    2.002
0.01, 0.552    0.991, 0.551    1.013, 0.551    1.036, 0.551    1.189, 0.551    1.548, 0.551    1.655, 0.551    1.727, 0.552    1.836, 0.553    1.921, 0.562    2.057
0.005, 0.551    1.005, 0.551    1.018, 0.551    1.023, 0.551    1.181, 0.551    1.556, 0.551    1.661, 0.551    1.727, 0.552    1.850, 0.553    1.914, 0.563    2.044
0.001, 0.551    0.994, 0.551    1.007, 0.551    1.014, 0.551    1.190, 0.551    1.542, 0.551    1.669, 0.551    1.728, 0.552    1.826, 0.553    1.897, 0.564    2.033



G, t=1000, c=64

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 0.552    1.000, 0.552    1.002, 0.552    1.010, 0.552    1.117, 0.551    1.415, 0.551    1.460, 0.551    1.512, 0.552    1.532, 0.552    1.528, 0.552    1.572
0.95, 0.552    0.987, 0.552    0.991, 0.552    1.004, 0.552    1.135, 0.551    1.373, 0.551    1.433, 0.551    1.493, 0.552    1.522, 0.552    1.545, 0.552    1.562
0.9, 0.552    0.991, 0.552    1.012, 0.552    1.009, 0.552    1.144, 0.551    1.374, 0.551    1.425, 0.551    1.464, 0.552    1.525, 0.552    1.543, 0.552    1.571
0.5, 0.552    1.000, 0.552    1.015, 0.552    1.020, 0.552    1.195, 0.551    1.433, 0.551    1.493, 0.551    1.535, 0.552    1.592, 0.553    1.603, 0.554    1.649
0.1, 0.552    1.011, 0.552    1.016, 0.552    1.035, 0.552    1.172, 0.551    1.505, 0.551    1.537, 0.552    1.577, 0.553    1.704, 0.553    1.783, 0.557    1.787
0.05, 0.552    1.007, 0.552    0.996, 0.552    1.030, 0.552    1.175, 0.551    1.471, 0.551    1.534, 0.551    1.622, 0.553    1.678, 0.554    1.783, 0.561    1.869
0.03, 0.552    0.989, 0.552    1.021, 0.552    1.027, 0.551    1.179, 0.551    1.461, 0.551    1.582, 0.551    1.612, 0.553    1.712, 0.555    1.782, 0.567    1.805
0.01, 0.552    0.980, 0.552    1.023, 0.552    1.025, 0.551    1.174, 0.551    1.475, 0.551    1.573, 0.552    1.625, 0.553    1.762, 0.557    1.782, 0.569    1.913
0.005, 0.552    0.977, 0.552    1.015, 0.552    1.024, 0.551    1.159, 0.551    1.453, 0.551    1.564, 0.551    1.576, 0.555    1.724, 0.556    1.805, 0.571    2.004
0.001, 0.552    0.965, 0.552    0.988, 0.552    1.009, 0.552    1.146, 0.551    1.465, 0.551    1.583, 0.551    1.619, 0.553    1.736, 0.559    1.780, 0.575    1.930



