RAND, t=1, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
0.95, 1.000    1.002, 1.000    0.991, 1.000    0.999, 1.000    1.074, 1.000    1.183, 1.000    1.245, 1.000    1.258, 1.000    1.286, 1.000    1.293, 1.000    1.298
0.9, 1.000    1.003, 1.000    0.990, 1.000    1.014, 1.000    1.083, 1.000    1.224, 1.000    1.246, 1.000    1.262, 1.000    1.286, 1.000    1.294, 1.000    1.279
0.5, 1.000    1.009, 1.000    0.999, 1.000    1.026, 1.000    1.088, 1.000    1.243, 1.000    1.272, 1.000    1.291, 1.000    1.323, 1.000    1.325, 1.000    1.345
0.1, 1.000    1.017, 1.000    0.975, 1.000    1.032, 1.000    1.112, 1.000    1.288, 1.000    1.328, 1.000    1.352, 1.000    1.396, 1.000    1.415, 1.000    1.443
0.05, 1.000    0.996, 1.000    1.011, 1.000    1.014, 1.000    1.105, 1.000    1.298, 1.000    1.337, 1.000    1.368, 1.000    1.410, 1.000    1.439, 1.000    1.473
0.03, 1.000    1.021, 1.000    1.012, 1.000    1.016, 1.000    1.101, 1.000    1.300, 1.000    1.350, 1.000    1.378, 1.000    1.418, 1.000    1.445, 1.000    1.480
0.01, 1.000    1.025, 1.000    1.009, 1.000    1.018, 1.000    1.101, 1.000    1.303, 1.000    1.341, 1.000    1.385, 1.000    1.438, 1.000    1.459, 1.000    1.507
0.005, 1.000    1.022, 1.000    1.013, 1.000    1.017, 1.000    1.101, 1.000    1.306, 1.000    1.347, 1.000    1.384, 1.000    1.436, 1.000    1.467, 1.001    1.516
0.001, 1.000    0.997, 1.000    1.012, 1.000    1.019, 1.000    1.103, 1.000    1.304, 1.000    1.351, 1.000    1.389, 1.000    1.440, 1.000    1.470, 1.001    1.509



RAND, t=16, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    0.998, 1.000    1.014, 1.000    1.100, 1.000    1.248, 1.000    1.286, 1.000    1.307, 1.000    1.331, 1.000    1.340, 1.000    1.348
0.95, 1.000    0.990, 1.000    0.996, 1.000    1.006, 1.000    1.078, 1.000    1.237, 1.000    1.284, 1.000    1.297, 1.000    1.336, 1.000    1.341, 1.000    1.362
0.9, 1.000    1.001, 1.000    0.993, 1.000    1.012, 1.000    1.098, 1.000    1.262, 1.000    1.295, 1.000    1.315, 1.000    1.333, 1.000    1.344, 1.000    1.357
0.5, 1.000    1.009, 1.000    1.011, 1.000    1.020, 1.000    1.111, 1.000    1.286, 1.000    1.327, 1.000    1.350, 1.000    1.380, 1.000    1.374, 1.000    1.406
0.1, 1.000    1.028, 1.000    1.020, 1.000    1.033, 1.000    1.135, 1.000    1.328, 1.000    1.377, 1.000    1.411, 1.000    1.456, 1.000    1.471, 1.000    1.500
0.05, 1.020    1.058, 1.000    1.022, 1.000    1.030, 1.000    1.136, 1.000    1.343, 1.000    1.390, 1.000    1.423, 1.000    1.470, 1.000    1.496, 1.000    1.541
0.03, 1.000    1.017, 1.000    1.024, 1.000    1.032, 1.000    1.136, 1.000    1.342, 1.000    1.397, 1.000    1.435, 1.000    1.482, 1.000    1.506, 1.000    1.564
0.01, 1.000    1.013, 1.000    1.016, 1.000    1.035, 1.000    1.137, 1.000    1.356, 1.000    1.404, 1.000    1.440, 1.000    1.508, 1.000    1.530, 1.002    1.588
0.005, 1.000    1.021, 1.000    1.022, 1.000    1.017, 1.000    1.143, 1.000    1.357, 1.000    1.407, 1.000    1.442, 1.000    1.505, 1.000    1.526, 1.002    1.590
0.001, 1.000    1.022, 1.000    1.035, 1.000    1.037, 1.000    1.140, 1.000    1.359, 1.000    1.415, 1.000    1.449, 1.000    1.512, 1.000    1.555, 1.005    1.594



RAND, t=32, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.021, 1.000    1.033, 1.000    1.135, 1.000    1.309, 1.000    1.365, 1.000    1.426, 1.000    1.467, 1.000    1.454, 1.000    1.497
0.95, 1.000    1.017, 1.000    1.022, 1.000    1.019, 1.000    1.116, 1.000    1.347, 1.000    1.353, 1.000    1.426, 1.000    1.451, 1.000    1.458, 1.000    1.468
0.9, 1.000    1.022, 1.000    1.025, 1.000    1.033, 1.000    1.144, 1.000    1.360, 1.000    1.366, 1.000    1.433, 1.000    1.478, 1.000    1.440, 1.000    1.499
0.5, 1.000    1.037, 1.000    1.044, 1.000    1.034, 1.000    1.133, 1.000    1.380, 1.000    1.475, 1.000    1.504, 1.000    1.506, 1.000    1.572, 1.000    1.599
0.1, 1.000    1.055, 1.000    1.058, 1.000    1.064, 1.000    1.192, 1.000    1.480, 1.000    1.569, 1.000    1.585, 1.000    1.722, 1.000    1.728, 1.001    1.813
0.05, 1.000    1.046, 1.000    1.061, 1.000    1.072, 1.000    1.197, 1.000    1.497, 1.000    1.591, 1.000    1.648, 1.000    1.712, 1.000    1.827, 1.001    1.831
0.03, 1.000    1.052, 1.000    1.059, 1.000    1.072, 1.000    1.195, 1.000    1.504, 1.000    1.604, 1.000    1.666, 1.000    1.740, 1.000    1.858, 1.002    1.945
0.01, 1.000    1.053, 1.000    1.063, 1.000    1.067, 1.000    1.190, 1.000    1.506, 1.000    1.604, 1.000    1.682, 1.000    1.801, 1.000    1.878, 1.006    2.035
0.005, 1.000    1.052, 1.000    1.068, 1.020    1.132, 1.000    1.196, 1.000    1.504, 1.000    1.600, 1.000    1.701, 1.000    1.840, 1.001    1.919, 1.009    2.063
0.001, 1.000    1.052, 1.000    1.070, 1.000    1.070, 1.000    1.190, 1.000    1.490, 1.000    1.611, 1.000    1.671, 1.000    1.831, 1.001    1.926, 1.011    2.120



RAND, t=64, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.001, 1.000    1.014, 1.000    1.095, 1.000    1.271, 1.000    1.350, 1.000    1.331, 1.000    1.361, 1.000    1.393, 1.000    1.369
