RAND, t=1, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.008, 1.000    1.004, 1.000    1.015, 1.000    1.023, 1.000    1.024, 1.000    1.035, 1.000    1.044, 1.000    1.042, 1.000    1.049
0.95, 1.000    1.010, 1.000    1.002, 1.000    1.006, 1.000    1.009, 1.000    1.030, 1.000    1.038, 1.000    1.035, 1.000    1.046, 1.000    1.047, 1.001    1.047
0.9, 1.000    1.002, 1.000    1.008, 1.000    1.007, 1.000    1.004, 1.000    1.029, 1.000    1.034, 1.000    1.031, 1.000    1.042, 1.000    1.045, 1.000    1.047
0.5, 1.000    1.008, 1.000    1.009, 1.000    1.005, 1.000    1.009, 1.000    1.032, 1.000    1.029, 1.000    1.036, 1.000    1.046, 1.000    1.038, 1.000    1.045
0.1, 1.000    1.009, 1.000    1.005, 1.000    1.010, 1.000    1.010, 1.000    1.025, 1.000    1.035, 1.000    1.042, 1.000    1.039, 1.000    1.041, 1.000    1.057
0.05, 1.000    1.011, 1.000    1.011, 1.000    1.012, 1.000    1.017, 1.000    1.032, 1.000    1.033, 1.000    1.034, 1.000    1.045, 1.000    1.051, 1.000    1.058
0.03, 1.000    1.010, 1.000    1.013, 1.000    1.009, 1.000    1.016, 1.000    1.030, 1.000    1.038, 1.000    1.042, 1.000    1.044, 1.000    1.045, 1.000    1.055
0.01, 1.000    1.008, 1.000    1.006, 1.000    1.009, 1.000    1.009, 1.000    1.036, 1.000    0.951, 1.000    1.043, 1.000    1.044, 1.000    1.047, 1.000    1.049
0.005, 1.000    0.997, 1.000    1.006, 1.000    1.010, 1.000    1.014, 1.000    1.013, 1.000    1.033, 1.000    1.043, 1.000    1.042, 1.000    1.044, 1.000    1.061
0.001, 1.000    1.009, 1.000    1.013, 1.000    1.010, 1.000    1.016, 1.000    1.033, 1.000    1.037, 1.000    1.043, 1.000    1.047, 1.000    1.049, 1.000    1.057



RAND, t=2, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.010, 1.000    1.014, 1.000    1.056, 1.000    1.123, 1.000    1.140, 1.000    1.151, 1.000    1.167, 1.000    1.165, 1.000    1.168
0.95, 1.000    1.003, 1.000    1.009, 1.000    1.012, 1.000    1.030, 1.000    1.132, 1.000    1.143, 1.000    1.148, 1.000    1.166, 1.000    1.165, 1.000    1.168
0.9, 1.000    1.008, 1.000    1.006, 1.000    1.014, 1.000    1.036, 1.000    1.135, 1.000    1.152, 1.000    1.153, 1.000    1.163, 1.000    1.168, 1.000    1.177
0.5, 1.000    1.015, 1.000    1.017, 1.000    1.019, 1.000    1.063, 1.000    1.145, 1.000    1.160, 1.000    1.167, 1.000    1.187, 1.000    1.189, 1.000    1.194
0.1, 1.000    1.023, 1.000    1.026, 1.000    1.032, 1.000    1.081, 1.000    1.169, 1.000    1.187, 1.000    1.194, 1.000    1.219, 1.000    1.227, 1.000    1.241
0.05, 1.000    1.027, 1.000    1.035, 1.000    1.033, 1.000    1.081, 1.000    1.176, 1.000    1.193, 1.000    1.201, 1.000    1.227, 1.000    1.235, 1.000    1.254
0.03, 1.000    1.026, 1.000    1.035, 1.000    1.035, 1.000    1.081, 1.000    1.178, 1.000    1.204, 1.000    1.214, 1.000    1.232, 1.000    1.237, 1.000    1.263
0.01, 1.000    1.029, 1.000    1.020, 1.000    1.039, 1.000    1.086, 1.000    1.186, 1.000    1.202, 1.000    1.216, 1.000    1.235, 1.000    1.248, 1.000    1.271
0.005, 1.000    1.026, 1.000    1.037, 1.000    1.040, 1.000    1.088, 1.000    1.183, 1.000    1.208, 1.000    1.217, 1.000    1.237, 1.000    1.244, 1.000    1.273
0.001, 1.000    1.026, 1.000    1.032, 1.000    1.021, 1.000    1.089, 1.000    1.184, 1.000    1.203, 1.000    1.218, 1.000    1.242, 1.000    1.255, 1.000    1.275



RAND, t=4, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
