RAND, t=1, c=2

0.1, 0.596    0.997+-0.5%, 0.596    1.027, 0.596    1.019+-0.6%, 0.596    1.057+-1.5%, 0.596    1.181, 0.596    1.221, 0.596    1.235, 0.596    1.259, 0.596    1.269, 0.596    1.284
0.05, 0.596    1.015, 0.596    1.027, 0.596    1.027+-0.9%, 0.596    1.083, 0.596    1.200, 0.596    1.227, 0.596    1.245, 0.596    1.274, 0.608+-2.8%    1.033+-28.2%, 0.596    1.304
0.03, 0.596    1.004+-1.3%, 0.596    1.028, 0.596    1.032, 0.596    1.083, 0.596    1.201, 0.596    1.233, 0.596    1.251, 0.596    1.280, 0.596    1.292, 0.596    1.316
0.01, 0.596    1.009+-1.4%, 0.596    1.022+-1.3%, 0.596    1.032, 0.596    1.081, 0.596    1.206, 0.596    1.240, 0.596    1.265, 0.596    1.299, 0.596    1.302+-0.8%, 0.596    1.338
0.005, 0.596    1.016, 0.596    1.029, 0.596    1.033, 0.596    1.085, 0.596    1.212, 0.596    1.238, 0.596    1.267, 0.596    1.302, 0.596    1.319, 0.596    1.352
0.001, 0.596    1.018, 0.596    1.030, 0.596    1.032, 0.596    1.082, 0.596    1.208, 0.596    1.244, 0.596    1.266, 0.596    1.302+-0.5%, 0.596    1.324, 0.596    1.365



RAND, t=8, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 0.596    1.000+-0.6%, 0.596    1.010, 0.596    1.026+-1.1%, 0.596    1.064+-1.3%, 0.596    1.145, 0.596    1.181+-0.7%, 0.596    1.184, 0.596    1.199, 0.596    1.208, 0.596    1.226+-0.7%
0.95, 0.596    1.009, 0.596    0.981+-2.1%, 0.596    0.978+-1.3%, 0.596    1.014+-0.8%, 0.596    1.116, 0.596    1.153+-0.8%, 0.596    1.155, 0.596    1.182+-0.8%, 0.596    1.180+-0.9%, 0.596    1.194
0.9, 0.596    1.022+-0.8%, 0.596    0.976+-2.4%, 0.596    1.024+-1.1%, 0.596    1.059, 0.596    1.154, 0.596    1.155, 0.596    1.171+-0.8%, 0.596    1.185+-0.5%, 0.596    1.190, 0.596    1.193+-0.5%
0.5, 0.596    1.012, 0.596    0.997, 0.596    1.018+-0.5%, 0.596    1.067, 0.596    1.172+-1.7%, 0.596    1.171, 0.596    1.178+-0.9%, 0.596    1.212, 0.596    1.203, 0.596    1.215+-0.6%
