LJ, t=1, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
0.95, 1.000    0.997, 1.000    1.002, 1.000    1.008, 1.000    1.114, 1.000    1.358, 1.000    1.424, 1.000    1.467, 1.000    1.490, 1.000    1.499, 1.000    1.513
0.9, 1.000    0.997, 1.000    1.009, 1.000    1.008, 1.000    1.129, 1.000    1.358, 1.000    1.426, 1.000    1.449, 1.000    1.495, 1.000    1.500, 1.000    1.539
0.5, 1.000    1.008, 1.000    1.000, 1.000    1.017, 1.000    1.116, 1.000    1.380, 1.000    1.453, 1.000    1.517, 1.000    1.532, 1.000    1.570, 1.000    1.559
0.1, 1.000    1.002, 1.000    1.007, 1.000    1.018, 1.000    1.135, 1.000    1.422, 1.000    1.529, 1.000    1.591, 1.000    1.690, 1.000    1.694, 1.000    1.711
0.05, 1.000    1.014, 1.000    1.006, 1.000    1.030, 1.000    1.136, 1.000    1.446, 1.000    1.563, 1.000    1.614, 1.000    1.714, 1.000    1.763, 1.000    1.796
0.03, 1.000    1.006, 1.000    1.014, 1.000    1.019, 1.000    1.127, 1.000    1.452, 1.000    1.533, 1.000    1.620, 1.000    1.731, 1.000    1.771, 1.000    1.806
0.01, 1.000    1.011, 1.000    1.007, 1.000    1.016, 1.000    1.138, 1.000    1.449, 1.000    1.558, 1.000    1.659, 1.000    1.792, 1.000    1.832, 1.000    1.862
0.005, 1.000    0.999, 1.000    1.004, 1.000    1.022, 1.000    1.131, 1.000    1.443, 1.000    1.555, 1.000    1.631, 1.000    1.783, 1.000    1.867, 1.000    1.892
0.001, 1.000    0.997, 1.000    1.010, 1.000    1.023, 1.000    1.123, 1.000    1.464, 1.000    1.559, 1.000    1.667, 1.000    1.779, 1.000    1.856, 1.000    1.889



LJ, t=16, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.021, 1.000    1.020, 1.000    1.128, 1.000    1.382, 1.000    1.428, 1.000    1.462, 1.000    1.506, 1.000    1.518, 1.000    1.515
0.95, 1.000    1.006, 1.000    1.015, 1.000    1.024, 1.000    1.134, 1.000    1.369, 1.000    1.426, 1.000    1.478, 1.000    1.510, 1.000    1.518, 1.000    1.534
0.9, 1.000    1.011, 1.000    1.008, 1.000    1.024, 1.000    1.133, 1.000    1.386, 1.000    1.440, 1.000    1.480, 1.000    1.528, 1.000    1.515, 1.000    1.533
0.5, 1.000    1.010, 1.000    1.021, 1.000    1.008, 1.000    1.140, 1.000    1.406, 1.000    1.485, 1.000    1.534, 1.000    1.571, 1.000    1.565, 1.000    1.597
0.1, 1.000    1.016, 1.000    1.010, 1.000    1.022, 1.000    1.154, 1.000    1.462, 1.000    1.558, 1.000    1.611, 1.000    1.704, 1.000    1.723, 1.000    1.741
0.05, 1.000    1.013, 1.000    1.027, 1.000    1.032, 1.000    1.153, 1.000    1.476, 1.000    1.589, 1.000    1.641, 1.000    1.714, 1.000    1.737, 1.000    1.765
0.03, 1.000    1.010, 1.000    1.026, 1.000    1.024, 1.000    1.149, 1.000    1.468, 1.000    1.589, 1.000    1.650, 1.000    1.740, 1.000    1.754, 1.000    1.811
0.01, 1.000    1.007, 1.000    1.013, 1.000    1.017, 1.000    1.153, 1.000    1.474, 1.000    1.570, 1.000    1.641, 1.000    1.770, 1.000    1.808, 1.000    1.818
0.005, 1.000    1.012, 1.000    1.013, 1.000    1.030, 1.000    1.140, 1.000    1.465, 1.000    1.567, 1.000    1.658, 1.000    1.769, 1.000    1.762, 1.000    1.829
0.001, 1.000    1.011, 1.000    1.014, 1.000    1.023, 1.000    1.139, 1.000    1.480, 1.000    1.565, 1.000    1.660, 1.000    1.732, 1.000    1.740, 1.001    1.815



LJ, t=32, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    0.977, 1.000    1.001, 1.000    1.119, 1.000    1.408, 1.000    1.438, 1.000    1.509, 1.000    1.571, 1.000    1.571, 1.000    1.551
0.95, 1.000    1.000, 1.000    0.997, 1.000    0.995, 1.000    1.114, 1.000    1.414, 1.000    1.493, 1.000    1.481, 1.000    1.574, 1.000    1.591, 1.000    1.607
0.9, 1.000    1.002, 1.000    0.995, 1.000    1.004, 1.000    1.117, 1.000    1.415, 1.000    1.508, 1.000    1.551, 1.000    1.573, 1.000    1.555, 1.000    1.638
0.5, 1.000    1.006, 1.000    1.002, 1.000    1.008, 1.000    1.131, 1.000    1.392, 1.000    1.524, 1.000    1.604, 1.000    1.619, 1.000    1.675, 1.000    1.677
0.1, 1.000    1.012, 1.000    1.012, 1.000    1.014, 1.000    1.157, 1.000    1.518, 1.000    1.609, 1.000    1.741, 1.000    1.776, 1.000    1.819, 1.000    1.899
0.05, 1.000    1.018, 1.000    1.007, 1.000    1.023, 1.000    1.138, 1.000    1.552, 1.000    1.670, 1.000    1.737, 1.000    1.875, 1.000    1.835, 1.000    1.946
0.03, 1.000    1.001, 1.000    1.009, 1.000    1.029, 1.000    1.150, 1.000    1.537, 1.000    1.689, 1.000    1.759, 1.000    1.891, 1.000    1.925, 1.000    1.956
0.01, 1.000    1.014, 1.000    1.012, 1.000    1.016, 1.000    1.144, 1.000    1.550, 1.000    1.712, 1.000    1.689, 1.000    1.964, 1.000    1.971, 1.000    1.788
0.005, 1.000    1.014, 1.000    1.007, 1.000    1.026, 1.000    1.164, 1.000    1.548, 1.000    1.691, 1.000    1.711, 1.000    1.926, 1.000    1.869, 1.000    1.957
0.001, 1.000    1.007, 1.000    1.006, 1.000    1.023, 1.000    1.144, 1.000    1.509, 1.000    1.681, 1.000    1.651, 1.000    1.932, 1.000    1.830, 1.001    1.961



LJ, t=64, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.024, 1.000    1.034, 1.000    1.106, 1.000    1.322, 1.000    1.420, 1.000    1.421, 1.000    1.440, 1.000    1.481, 1.000    1.442
0.95, 1.000    1.021, 1.000    1.017, 1.000    1.048, 1.000    1.151, 1.000    1.364, 1.000    1.407, 1.000    1.469, 1.000    1.487, 1.000    1.507, 1.000    1.504
0.9, 1.000    1.032, 1.000    1.018, 1.000    1.013, 1.000    1.151, 1.000    1.381, 1.000    1.449, 1.000    1.444, 1.000    1.464, 1.000    1.522, 1.000    1.512
0.5, 1.000    1.011, 1.000    1.012, 1.000    1.025, 1.000    1.157, 1.000    1.363, 1.000    1.445, 1.000    1.469, 1.000    1.553, 1.000    1.563, 1.000    1.554
0.1, 1.000    1.014, 1.000    1.028, 1.000    1.022, 1.000    1.120, 1.000    1.441, 1.000    1.473, 1.000    1.518, 1.000    1.565, 1.000    1.572, 1.000    1.642
0.05, 1.000    1.017, 1.000    1.006, 1.000    1.003, 1.000    1.143, 1.000    1.409, 1.000    1.542, 1.000    1.585, 1.000    1.611, 1.000    1.614, 1.000    1.677
0.03, 1.000    1.021, 1.000    0.991, 1.000    1.002, 1.035    0.359, 1.000    1.467, 1.000    1.522, 1.000    1.521, 1.000    1.681, 1.000    1.584, 1.000    1.656
0.01, 1.000    0.987, 1.000    1.009, 1.000    1.026, 1.000    1.120, 1.000    1.416, 1.000    1.483, 1.000    1.516, 1.000    1.744, 1.000    1.666, 1.001    1.633
0.005, 1.000    0.981, 1.000    1.000, 1.000    1.032, 1.000    1.166, 1.000    1.479, 1.000    1.514, 1.000    1.728, 1.000    1.638, 1.000    1.633, 1.001    1.661
0.001, 1.000    0.987, 1.004    0.939, 1.000    1.026, 1.000    1.157, 1.000    1.438, 1.000    1.504, 1.000    1.609, 1.001    1.695, 1.002    1.594, 1.005    1.673



