LJ, t=1, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    0.998, 1.000    0.988, 1.000    1.012, 1.000    1.047, 1.000    1.045, 1.000    1.054, 1.000    1.047, 1.000    1.059, 1.000    1.048
0.95, 1.000    1.006, 1.000    1.000, 1.000    1.006, 1.000    1.008, 1.000    1.043, 1.000    1.053, 1.000    1.055, 1.000    1.062, 1.000    1.065, 1.000    1.046
0.9, 1.000    1.003, 1.000    1.002, 1.000    1.008, 1.000    1.013, 1.000    1.048, 1.000    1.056, 1.000    1.057, 1.000    1.021, 1.000    1.048, 1.000    1.058
0.5, 1.000    1.008, 1.000    1.004, 1.000    1.009, 1.000    1.018, 1.000    1.053, 1.000    1.047, 1.000    1.070, 1.000    1.068, 1.000    1.064, 1.000    1.060
0.1, 1.000    1.018, 1.000    1.017, 1.000    1.017, 1.000    1.028, 1.000    1.066, 1.000    1.064, 1.000    1.068, 1.000    1.074, 1.000    1.070, 1.000    1.066
0.05, 1.000    1.021, 1.000    1.016, 1.000    1.023, 1.000    1.023, 1.000    1.067, 1.000    1.065, 1.000    1.072, 1.000    1.075, 1.000    1.077, 1.000    1.074
0.03, 1.000    1.022, 1.000    1.020, 1.000    1.016, 1.000    1.027, 1.000    1.064, 1.000    1.067, 1.000    1.080, 1.000    1.077, 1.000    1.077, 1.000    1.076
0.01, 1.000    1.019, 1.000    1.018, 1.000    1.016, 1.000    1.030, 1.000    1.065, 1.000    1.069, 1.000    1.072, 1.000    1.077, 1.000    1.082, 1.000    1.078
0.005, 1.000    1.015, 1.000    1.009, 1.000    1.016, 1.000    1.029, 1.000    1.068, 1.000    1.071, 1.000    1.072, 1.000    1.077, 1.000    1.081, 1.000    1.078
0.001, 1.000    1.017, 1.000    1.015, 1.000    1.013, 1.000    1.026, 1.000    1.062, 1.000    1.056, 1.000    1.065, 1.000    1.063, 1.000    1.078, 1.000    1.077



LJ, t=2, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.014, 1.000    1.020, 1.000    1.096, 1.000    1.261, 1.000    1.277, 1.000    1.309, 1.000    1.337, 1.000    1.333, 1.000    1.343
0.95, 1.000    1.001, 1.000    1.010, 1.000    1.023, 1.000    1.096, 1.000    1.265, 1.000    1.297, 1.000    1.310, 1.000    1.339, 1.000    1.346, 1.000    1.347
0.9, 1.000    0.997, 1.000    0.991, 1.000    1.017, 1.000    1.101, 1.000    1.267, 1.000    1.301, 1.000    1.317, 1.000    1.346, 1.000    1.347, 1.000    1.355
0.5, 1.000    1.010, 1.000    1.021, 1.000    1.034, 1.000    1.109, 1.000    1.282, 1.000    1.326, 1.000    1.350, 1.000    1.378, 1.000    1.383, 1.000    1.369
0.1, 1.000    1.027, 1.000    1.038, 1.000    1.042, 1.000    1.131, 1.000    1.328, 1.000    1.381, 1.000    1.400, 1.000    1.416, 1.000    1.446, 1.000    1.453
0.05, 1.000    1.026, 1.000    1.023, 1.000    1.045, 1.000    1.130, 1.000    1.339, 1.000    1.385, 1.000    1.420, 1.000    1.447, 1.000    1.459, 1.000    1.472
0.03, 1.000    1.035, 1.000    1.043, 1.000    1.045, 1.000    1.140, 1.000    1.338, 1.000    1.393, 1.000    1.431, 1.000    1.463, 1.000    1.464, 1.000    1.486
0.01, 1.000    1.021, 1.000    1.033, 1.000    1.042, 1.000    1.129, 1.000    1.342, 1.000    1.392, 1.000    1.430, 1.000    1.469, 1.000    1.481, 1.000    1.495
0.005, 1.000    1.021, 1.000    1.032, 1.000    1.037, 1.000    1.131, 1.000    1.344, 1.000    1.404, 1.000    1.430, 1.000    1.477, 1.000    1.482, 1.000    1.504
0.001, 1.000    1.025, 1.000    1.029, 1.000    1.045, 1.000    1.134, 1.000    1.343, 1.000    1.407, 1.000    1.424, 1.000    1.470, 1.000    1.477, 1.000    1.492



LJ, t=4, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.003, 1.000    1.008, 1.000    1.120, 1.000    1.355, 1.000    1.406, 1.000    1.435, 1.000    1.462, 1.000    1.474, 1.000    1.467
0.95, 1.000    0.993, 1.000    1.005, 1.000    1.013, 1.000    1.117, 1.000    1.366, 1.000    1.421, 1.000    1.444, 1.000    1.474, 1.000    1.483, 1.000    1.491
0.9, 1.000    0.994, 1.000    1.004, 1.000    1.014, 1.000    1.121, 1.000    1.361, 1.000    1.420, 1.000    1.444, 1.000    1.479, 1.000    1.490, 1.000    1.494
0.5, 1.000    1.005, 1.000    1.012, 1.000    1.024, 1.000    1.138, 1.000    1.385, 1.000    1.457, 1.000    1.494, 1.000    1.525, 1.000    1.532, 1.000    1.539
0.1, 1.000    1.007, 1.000    1.019, 1.000    1.023, 1.000    1.157, 1.000    1.445, 1.000    1.522, 1.000    1.552, 1.000    1.602, 1.000    1.628, 1.000    1.652
0.05, 1.000    1.008, 1.000    1.010, 1.000    1.022, 1.000    1.151, 1.000    1.459, 1.000    1.533, 1.000    1.581, 1.000    1.640, 1.000    1.662, 1.000    1.672
0.03, 1.000    1.002, 1.000    1.021, 1.000    1.033, 1.000    1.154, 1.000    1.461, 1.000    1.544, 1.000    1.592, 1.000    1.652, 1.000    1.662, 1.000    1.686
0.01, 1.000    1.003, 1.000    1.010, 1.000    1.028, 1.000    1.148, 1.000    1.460, 1.000    1.548, 1.000    1.594, 1.000    1.663, 1.000    1.684, 1.000    1.662
0.005, 1.000    1.003, 1.000    1.010, 1.000    1.015, 1.000    1.150, 1.000    1.457, 1.000    1.552, 1.000    1.604, 1.000    1.669, 1.000    1.690, 1.000    1.725
0.001, 1.000    0.993, 1.000    1.008, 1.000    1.024, 1.000    1.157, 1.000    1.460, 1.000    1.547, 1.000    1.587, 1.000    1.665, 1.000    1.679, 1.000    1.704



LJ, t=8, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.000, 1.000    1.004, 1.000    1.118, 1.000    1.356, 1.000    1.439, 1.000    1.469, 1.000    1.507, 1.000    1.514, 1.000    1.526
0.95, 1.000    0.987, 1.000    1.000, 1.000    1.006, 1.000    1.120, 1.000    1.375, 1.000    1.449, 1.000    1.472, 1.000    1.512, 1.000    1.526, 1.000    1.537
0.9, 1.000    0.991, 1.000    1.002, 1.000    1.013, 1.000    1.122, 1.000    1.377, 1.000    1.454, 1.000    1.482, 1.000    1.521, 1.000    1.528, 1.000    1.536
0.5, 1.000    0.998, 1.000    1.004, 1.000    1.011, 1.000    1.128, 1.000    1.412, 1.000    1.481, 1.000    1.530, 1.000    1.578, 1.000    1.587, 1.000    1.594
0.1, 1.000    0.997, 1.000    1.004, 1.000    1.012, 1.000    1.138, 1.000    1.464, 1.000    1.560, 1.000    1.631, 1.000    1.681, 1.000    1.735, 1.000    1.747
0.05, 1.000    0.993, 1.000    1.007, 1.000    1.020, 1.000    1.127, 1.000    1.483, 1.000    1.601, 1.000    1.651, 1.000    1.746, 1.000    1.770, 1.000    1.783
0.03, 1.000    1.000, 1.000    1.004, 1.000    1.019, 1.000    1.145, 1.000    1.491, 1.000    1.586, 1.000    1.663, 1.000    1.759, 1.000    1.788, 1.000    1.765
0.01, 1.000    0.991, 1.000    1.005, 1.000    1.014, 1.000    1.136, 1.000    1.485, 1.000    1.598, 1.000    1.685, 1.000    1.788, 1.000    1.821, 1.000    1.819
0.005, 1.000    0.998, 1.000    1.008, 1.000    1.011, 1.000    1.133, 1.000    1.473, 1.000    1.602, 1.000    1.677, 1.000    1.785, 1.000    1.815, 1.000    1.865
0.001, 1.000    0.991, 1.000    1.000, 1.000    1.010, 1.000    1.140, 1.000    1.467, 1.000    1.607, 1.000    1.660, 1.000    1.771, 1.000    1.786, 1.000    1.811



LJ, t=16, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.008, 1.000    1.012, 1.000    1.134, 1.000    1.386, 1.000    1.460, 1.000    1.489, 1.000    1.524, 1.000    1.546, 1.000    1.550
0.95, 1.000    1.002, 1.000    1.005, 1.001    1.076, 1.000    1.140, 1.000    1.398, 1.000    1.466, 1.000    1.503, 1.000    1.533, 1.000    1.545, 1.000    1.552
0.9, 1.000    1.002, 1.000    0.998, 1.000    1.019, 1.000    1.139, 1.000    1.411, 1.000    1.475, 1.000    1.498, 1.000    1.544, 1.000    1.557, 1.000    1.561
0.5, 1.000    1.005, 1.000    1.012, 1.000    1.019, 1.000    1.148, 1.000    1.439, 1.000    1.508, 1.000    1.558, 1.000    1.590, 1.000    1.604, 1.000    1.604
0.1, 1.000    1.007, 1.000    1.019, 1.000    1.028, 1.000    1.169, 1.000    1.497, 1.000    1.597, 1.000    1.653, 1.000    1.716, 1.000    1.728, 1.000    1.771
0.05, 1.000    1.007, 1.000    1.007, 1.000    1.032, 1.000    1.180, 1.000    1.508, 1.000    1.619, 1.000    1.675, 1.000    1.708, 1.000    1.751, 1.000    1.790
0.03, 1.000    1.005, 1.000    1.014, 1.000    1.032, 1.000    1.161, 1.000    1.528, 1.000    1.616, 1.000    1.694, 1.000    1.733, 1.000    1.726, 1.000    1.816
