LJ, t=1, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.006, 1.000    1.011, 1.000    1.017, 1.000    1.053, 1.000    1.053, 1.000    1.059, 1.000    1.063, 1.000    1.059, 1.000    1.057
0.95, 1.000    1.004, 1.000    1.012, 1.000    1.003, 1.000    1.019, 1.000    1.054, 1.000    1.060, 1.000    1.064, 1.000    1.068, 1.000    1.072, 1.000    1.062
0.9, 1.000    1.007, 1.000    1.013, 1.000    1.014, 1.000    1.019, 1.000    1.057, 1.000    1.062, 1.000    1.060, 1.000    1.067, 1.000    1.075, 1.000    1.065
0.5, 1.000    1.013, 1.000    1.003, 1.000    1.011, 1.000    1.020, 1.000    1.061, 1.000    1.063, 1.000    1.067, 1.000    1.075, 1.000    1.076, 1.000    1.054
0.1, 1.000    1.029, 1.000    1.021, 1.000    1.024, 1.000    1.033, 1.000    1.071, 1.000    1.072, 1.000    1.077, 1.000    1.084, 1.000    1.085, 1.000    1.086
0.05, 1.000    1.024, 1.000    1.026, 1.000    1.029, 1.000    1.038, 1.000    1.074, 1.000    1.083, 1.000    1.073, 1.000    1.086, 1.000    1.072, 1.000    1.080
0.03, 1.000    1.026, 1.000    1.026, 1.000    1.025, 1.000    1.038, 1.000    1.072, 1.000    1.082, 1.000    1.086, 1.000    1.087, 1.000    1.085, 1.000    1.087
0.01, 1.000    1.023, 1.000    1.014, 1.000    1.027, 1.000    1.037, 1.000    1.071, 1.000    1.075, 1.000    1.083, 1.000    1.087, 1.000    1.086, 1.000    1.085
0.005, 1.000    1.026, 1.000    1.022, 1.000    1.025, 1.000    1.026, 1.000    1.065, 1.000    1.085, 1.000    1.084, 1.000    1.089, 1.000    1.088, 1.000    1.092
0.001, 1.000    1.024, 1.000    1.024, 1.000    1.024, 1.000    1.027, 1.000    1.069, 1.000    1.080, 1.000    1.078, 1.000    1.082, 1.000    1.073, 1.000    1.083



LJ, t=2, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    0.999, 1.000    1.012, 1.000    1.102, 1.000    1.257, 1.000    1.285, 1.000    1.312, 1.000    1.329, 1.000    1.335, 1.000    1.340
0.95, 1.000    0.997, 1.000    1.000, 1.000    1.010, 1.000    1.097, 1.000    1.258, 1.000    1.296, 1.000    1.312, 1.000    1.331, 1.000    1.339, 1.000    1.350
0.9, 1.000    0.997, 1.000    1.006, 1.000    1.011, 1.000    1.096, 1.000    1.267, 1.000    1.305, 1.000    1.322, 1.000    1.344, 1.000    1.343, 1.000    1.349
0.5, 1.000    0.999, 1.000    1.015, 1.000    1.017, 1.000    1.117, 1.000    1.287, 1.000    1.333, 1.000    1.350, 1.000    1.374, 1.000    1.370, 1.000    1.377
0.1, 1.000    1.018, 1.000    1.023, 1.000    1.036, 1.000    1.133, 1.000    1.325, 1.000    1.373, 1.000    1.394, 1.000    1.425, 1.000    1.441, 1.000    1.448
0.05, 1.000    1.018, 1.000    1.028, 1.000    1.036, 1.000    1.133, 1.000    1.335, 1.000    1.384, 1.000    1.412, 1.000    1.448, 1.000    1.453, 1.000    1.465
0.03, 1.000    1.023, 1.000    1.031, 1.000    1.029, 1.000    1.136, 1.000    1.338, 1.000    1.390, 1.000    1.410, 1.000    1.450, 1.000    1.448, 1.000    1.461
0.01, 1.000    1.017, 1.000    1.027, 1.000    1.034, 1.000    1.136, 1.000    1.340, 1.000    1.396, 1.000    1.413, 1.000    1.460, 1.000    1.461, 1.000    1.453
0.005, 1.000    1.015, 1.000    1.021, 1.000    1.036, 1.000    1.126, 1.000    1.331, 1.000    1.392, 1.000    1.416, 1.000    1.451, 1.000    1.464, 1.000    1.462
0.001, 1.000    1.013, 1.000    1.021, 1.000    1.026, 1.000    1.130, 1.000    1.328, 1.000    1.383, 1.000    1.412, 1.000    1.439, 1.000    1.418, 1.000    1.456



LJ, t=4, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.005, 1.000    1.005, 1.000    1.125, 1.000    1.370, 1.000    1.420, 1.000    1.449, 1.000    1.470, 1.000    1.478, 1.000    1.489
0.95, 1.000    0.991, 1.000    1.001, 1.000    1.013, 1.000    1.133, 1.000    1.378, 1.000    1.433, 1.000    1.455, 1.000    1.492, 1.000    1.487, 1.000    1.500
