RAND, t=1, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.001, 1.000    1.000, 1.000    1.005, 1.000    1.030, 1.000    1.030, 1.000    0.926, 1.000    1.028, 1.000    1.036, 1.000    1.024
0.95, 1.000    1.008, 1.000    0.999, 1.000    1.005, 1.000    1.003, 1.000    1.026, 1.000    1.043, 1.000    1.042, 1.000    1.039, 1.000    1.040, 1.000    1.034
0.9, 1.000    1.003, 1.000    1.006, 1.000    1.004, 1.000    1.012, 1.000    1.030, 1.000    1.021, 1.000    1.035, 1.000    1.039, 1.000    1.035, 1.000    1.035
0.5, 1.000    0.984, 1.000    1.003, 1.000    1.003, 1.000    1.006, 1.000    1.031, 1.000    1.031, 1.000    1.030, 1.000    1.037, 1.000    1.025, 1.000    1.034
0.1, 1.000    1.003, 1.000    1.013, 1.000    1.011, 1.000    1.008, 1.000    1.034, 1.000    1.037, 1.000    1.038, 1.000    1.042, 1.000    1.033, 1.000    1.035
0.05, 1.000    0.997, 1.000    1.009, 1.000    1.007, 1.000    1.011, 1.000    1.026, 1.000    1.032, 1.000    1.039, 1.000    1.046, 1.000    1.043, 1.000    1.044
0.03, 1.000    1.003, 1.000    1.013, 1.000    0.994, 1.000    1.015, 1.000    1.038, 1.000    1.034, 1.000    1.042, 1.000    1.037, 1.000    1.024, 1.000    1.041
0.01, 1.000    1.012, 1.000    1.005, 1.000    1.005, 1.000    1.008, 1.000    1.036, 1.000    1.028, 1.000    1.048, 1.000    1.042, 1.000    1.022, 1.000    1.030
0.005, 1.000    1.003, 1.000    1.009, 1.000    1.005, 1.000    0.984, 1.000    1.034, 1.000    1.044, 1.000    1.044, 1.000    1.045, 1.000    1.043, 1.000    1.035
0.001, 1.000    1.010, 1.000    1.010, 1.000    1.005, 1.000    1.014, 1.000    1.036, 1.000    1.045, 1.000    1.041, 1.000    1.040, 1.000    1.041, 1.000    1.046



RAND, t=2, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.019, 1.000    1.034, 1.000    1.084, 1.000    1.178, 1.000    1.200, 1.000    1.219, 1.000    1.229, 1.000    1.226, 1.000    1.230
0.95, 1.000    1.019, 1.000    1.021, 1.000    1.025, 1.000    1.083, 1.000    1.188, 1.000    1.206, 1.000    1.221, 1.000    1.234, 1.000    1.234, 1.000    1.235
0.9, 1.000    1.022, 1.000    1.013, 1.000    1.028, 1.000    1.085, 1.000    1.195, 1.000    1.213, 1.000    1.214, 1.000    1.229, 1.000    1.235, 1.000    1.237
0.5, 1.000    1.026, 1.000    1.027, 1.000    1.035, 1.000    1.091, 1.000    1.214, 1.000    1.224, 1.000    1.230, 1.000    1.259, 1.000    1.259, 1.000    1.266
0.1, 1.000    1.037, 1.000    1.042, 1.000    1.052, 1.000    1.111, 1.000    1.241, 1.000    1.273, 1.000    1.287, 1.000    1.310, 1.000    1.312, 1.000    1.308
0.05, 1.000    1.035, 1.000    1.042, 1.000    1.055, 1.000    1.118, 1.000    1.251, 1.000    1.273, 1.000    1.292, 1.000    1.312, 1.000    1.325, 1.000    1.309
0.03, 1.000    1.038, 1.000    1.040, 1.000    1.046, 1.000    1.121, 1.000    1.253, 1.000    1.280, 1.000    1.307, 1.000    1.318, 1.000    1.328, 1.000    1.324
0.01, 1.000    1.044, 1.000    1.044, 1.000    1.055, 1.000    1.119, 1.000    1.258, 1.000    1.292, 1.000    1.306, 1.000    1.326, 1.000    1.334, 1.000    1.338
0.005, 1.000    1.044, 1.000    1.048, 1.000    1.050, 1.000    1.113, 1.000    1.258, 1.000    1.296, 1.000    1.311, 1.000    1.330, 1.000    1.329, 1.000    1.342
0.001, 1.000    1.042, 1.000    1.038, 1.000    1.047, 1.000    1.122, 1.000    1.265, 1.000    1.293, 1.000    1.301, 1.000    1.334, 1.000    1.337, 1.000    1.339



RAND, t=4, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.002, 1.000    1.013, 1.000    1.073, 1.000    1.208, 1.000    1.245, 1.000    1.256, 1.000    1.274, 1.000    1.257, 1.000    1.280
0.95, 1.000    0.998, 1.000    0.999, 1.000    1.008, 1.000    1.047, 1.000    1.213, 1.000    1.249, 1.000    1.253, 1.000    1.283, 1.000    1.281, 1.000    1.281
0.9, 1.000    0.989, 1.000    1.001, 1.000    1.003, 1.000    1.082, 1.000    1.221, 1.000    1.252, 1.000    1.267, 1.000    1.284, 1.000    1.296, 1.000    1.294
0.5, 1.000    0.999, 1.000    1.001, 1.000    1.012, 1.000    1.083, 1.000    1.242, 1.000    1.279, 1.000    1.285, 1.000    1.325, 1.000    1.325, 1.000    1.324
