RAND, t=1, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    0.995, 1.000    0.976, 1.000    1.001, 1.000    1.021, 1.000    1.010, 1.000    1.029, 1.000    1.032, 1.000    1.028, 1.000    1.020
0.95, 1.000    0.992, 1.000    0.987, 1.000    0.995, 1.000    0.996, 1.000    1.026, 1.000    1.010, 1.000    1.026, 1.000    1.032, 1.000    1.027, 1.001    1.029
0.9, 1.000    0.991, 1.000    1.000, 1.000    0.993, 1.000    1.006, 1.000    1.026, 1.000    1.019, 1.000    1.032, 1.000    1.028, 1.000    1.035, 1.000    1.032
0.5, 1.000    0.995, 1.000    0.993, 1.000    0.996, 1.000    1.000, 1.000    1.022, 1.000    1.023, 1.000    1.033, 1.000    1.025, 1.000    1.031, 1.000    1.030
0.1, 1.000    1.002, 1.000    0.990, 1.000    1.004, 1.000    1.009, 1.000    1.010, 1.000    1.037, 1.000    1.037, 1.000    1.033, 1.000    1.030, 1.000    1.033
0.05, 1.000    1.002, 1.000    0.999, 1.000    1.005, 1.000    1.009, 1.000    1.029, 1.000    1.022, 1.000    1.034, 1.000    1.041, 1.000    1.024, 1.000    1.038
0.03, 1.000    1.001, 1.000    1.000, 1.000    1.000, 1.000    1.013, 1.000    1.029, 1.000    1.019, 1.000    1.036, 1.000    1.037, 1.000    1.035, 1.000    1.038
0.01, 1.000    1.002, 1.000    1.001, 1.000    1.009, 1.000    1.005, 1.000    1.029, 1.000    1.037, 1.000    1.034, 1.000    1.032, 1.000    1.035, 1.000    1.037
0.005, 1.000    0.999, 1.000    1.003, 1.000    0.989, 1.000    1.008, 1.000    1.034, 1.000    1.033, 1.000    1.033, 1.000    1.039, 1.000    1.032, 1.000    1.040
0.001, 1.000    1.004, 1.000    0.996, 1.000    0.999, 1.000    1.008, 1.000    1.033, 1.000    1.035, 1.000    1.040, 1.000    0.973, 1.000    1.041, 1.000    1.037



RAND, t=2, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.003, 1.000    0.997, 1.000    1.055, 1.000    1.158, 1.000    1.179, 1.000    1.193, 1.000    1.211, 1.000    1.198, 1.000    1.211
0.95, 1.000    0.999, 1.000    1.002, 1.000    1.004, 1.000    1.065, 1.000    1.165, 1.000    1.189, 1.000    1.193, 1.000    1.205, 1.000    1.214, 1.000    1.217
0.9, 1.000    0.992, 1.000    1.000, 1.000    1.012, 1.000    1.071, 1.000    1.174, 1.000    1.189, 1.000    1.199, 1.000    1.207, 1.000    1.220, 1.000    1.216
0.5, 1.000    1.012, 1.000    1.013, 1.000    1.012, 1.000    1.086, 1.000    1.186, 1.000    1.207, 1.000    1.225, 1.000    1.225, 1.000    1.232, 1.000    1.244
0.1, 1.000    1.019, 1.000    1.023, 1.000    1.036, 1.000    1.104, 1.000    1.228, 1.000    1.251, 1.000    1.263, 1.000    1.271, 1.000    1.280, 1.000    1.294
0.05, 1.000    1.020, 1.000    1.026, 1.000    1.028, 1.000    1.104, 1.000    1.235, 1.000    1.252, 1.000    1.267, 1.000    1.283, 1.000    1.288, 1.000    1.296
0.03, 1.000    1.023, 1.000    1.028, 1.000    1.038, 1.000    1.109, 1.000    1.224, 1.000    1.261, 1.000    1.274, 1.000    1.286, 1.000    1.297, 1.000    1.305
0.01, 1.000    1.023, 1.000    1.032, 1.000    1.033, 1.000    1.101, 1.000    1.233, 1.000    1.271, 1.000    1.281, 1.000    1.293, 1.000    1.304, 1.000    1.304
0.005, 1.000    1.020, 1.000    1.030, 1.000    1.038, 1.000    1.108, 1.000    1.238, 1.000    1.272, 1.000    1.288, 1.000    1.300, 1.000    1.306, 1.000    1.314
0.001, 1.000    1.010, 1.000    1.035, 1.000    1.031, 1.000    1.105, 1.000    1.238, 1.000    1.266, 1.000    1.282, 1.000    1.305, 1.000    1.306, 1.000    1.303



RAND, t=4, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.014, 1.000    1.021, 1.000    1.096, 1.000    1.241, 1.000    1.271, 1.000    1.282, 1.000    1.295, 1.000    1.303, 1.000    1.305
0.95, 1.000    1.008, 1.000    1.014, 1.000    1.022, 1.000    1.106, 1.000    1.243, 1.000    1.275, 1.000    1.290, 1.000    1.304, 1.000    1.310, 1.000    1.309
0.9, 1.000    1.008, 1.000    1.016, 1.000    1.022, 1.000    1.105, 1.000    1.247, 1.000    1.279, 1.000    1.293, 1.000    1.316, 1.000    1.317, 1.000    1.317
0.5, 1.000    1.010, 1.000    1.024, 1.000    1.030, 1.000    1.112, 1.000    1.272, 1.000    1.307, 1.000    1.327, 1.000    1.342, 1.000    1.346, 1.000    1.344
0.1, 1.000    1.021, 1.000    1.031, 1.000    1.041, 1.000    1.135, 1.000    1.321, 1.000    1.366, 1.000    1.383, 1.000    1.409, 1.000    1.421, 1.000    1.419
0.05, 1.000    1.020, 1.000    1.036, 1.000    1.041, 1.000    1.134, 1.000    1.339, 1.000    1.380, 1.000    1.401, 1.000    1.428, 1.000    1.433, 1.000    1.440
0.03, 1.000    1.027, 1.000    1.012, 1.000    1.046, 1.000    1.140, 1.000    1.340, 1.000    1.376, 1.000    1.413, 1.000    1.444, 1.000    1.442, 1.000    1.452
0.01, 1.000    1.027, 1.000    1.032, 1.000    1.043, 1.000    1.142, 1.000    1.346, 1.000    1.388, 1.000    1.420, 1.000    1.451, 1.000    1.453, 1.000    1.460
0.005, 1.000    1.022, 1.000    1.031, 1.000    1.042, 1.000    1.142, 1.000    1.352, 1.000    1.396, 1.000    1.420, 1.000    1.459, 1.000    1.473, 1.000    1.473
0.001, 1.000    1.022, 1.000    1.030, 1.000    1.035, 1.000    1.138, 1.000    1.346, 1.000    1.394, 1.000    1.428, 1.000    1.461, 1.000    1.467, 1.000    1.483



RAND, t=8, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.003, 1.000    1.010, 1.000    1.083, 1.000    1.243, 1.000    1.281, 1.000    1.297, 1.000    1.303, 1.000    1.320, 1.000    1.317
0.95, 1.000    0.993, 1.000    0.998, 1.000    1.007, 1.000    1.082, 1.000    1.251, 1.000    1.282, 1.000    1.301, 1.000    1.306, 1.000    1.318, 1.000    1.321
0.9, 1.000    0.999, 1.000    0.993, 1.000    1.003, 1.000    1.092, 1.000    1.254, 1.000    1.283, 1.000    1.302, 1.000    1.325, 1.000    1.323, 1.000    1.328
0.5, 1.000    0.995, 1.000    1.004, 1.000    1.013, 1.000    1.097, 1.000    1.284, 1.000    1.318, 1.000    1.327, 1.000    1.363, 1.000    1.361, 1.000    1.359
