RAND, t=1, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
0.95, 1.000    1.000, 1.000    0.982, 1.000    0.997, 1.000    1.050, 1.000    1.189, 1.000    1.227, 1.000    1.244, 1.000    1.280, 1.000    1.279, 1.000    1.298
0.9, 1.000    0.979, 1.000    1.001, 1.000    0.990, 1.000    1.079, 1.000    1.194, 1.000    1.253, 1.000    1.248, 1.000    1.286, 1.000    1.289, 1.000    1.269
0.5, 1.000    0.990, 1.000    1.003, 1.000    0.988, 1.000    1.071, 1.000    1.206, 1.000    1.258, 1.000    1.270, 1.000    1.300, 1.000    1.289, 1.000    1.324
0.1, 1.000    1.007, 1.000    1.008, 1.000    1.002, 1.000    1.063, 1.000    1.272, 1.000    1.312, 1.000    1.358, 1.000    1.399, 1.000    1.396, 1.000    1.414
0.05, 1.000    1.005, 1.000    0.982, 1.000    1.011, 1.000    1.059, 1.000    1.252, 1.000    1.328, 1.000    1.370, 1.000    1.427, 1.000    1.412, 1.000    1.423
0.03, 1.000    0.981, 1.000    1.009, 1.000    1.008, 1.000    1.064, 1.000    1.261, 1.000    1.352, 1.000    1.406, 1.000    1.436, 1.000    1.469, 1.000    1.473
0.01, 1.000    1.001, 1.000    1.009, 1.000    0.990, 1.000    1.086, 1.000    1.278, 1.000    1.357, 1.000    1.408, 1.000    1.482, 1.000    1.512, 1.000    1.538
0.005, 1.000    0.991, 1.000    0.983, 1.000    0.990, 1.000    1.084, 1.000    1.266, 1.000    1.339, 1.000    1.366, 1.000    1.483, 1.000    1.499, 1.000    1.552
0.001, 1.000    0.983, 1.000    0.990, 1.000    0.987, 1.000    1.087, 1.000    1.278, 1.000    1.329, 1.000    1.426, 1.000    1.509, 1.000    1.525, 1.000    1.589



RAND, t=16, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
