smq,2.50,2.20,2.09,2.39,3.34,3.04
smq,1.39,2.96,2.14,1.93,1.46,1.45
slsmq,1.52,1.42,1.64,2.20,1.73,1.57
slsmq,0.96,2.42,1.49,1.33,1.45,1.47
mqpp,1.05,0.97,1.73,2.19,1.77,1.44
mqpp,1.40,2.92,1.06,0.98,1.20,1.21
mqpl,1.16,1.03,1.76,2.16,2.26,1.85
mqpl,1.44,2.95,1.18,1.05,1.21,1.16
mqlp,1.34,1.16,2.00,2.20,1.83,1.52
mqlp,1.40,2.75,1.22,1.03,1.28,1.29
mqll,1.18,1.00,1.71,2.07,2.42,1.88
mqll,1.43,3.04,1.19,1.01,1.27,1.27
