LJ, t=1, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.007, 1.000    1.001, 1.000    1.017, 1.000    1.045, 1.000    1.051, 1.000    1.061, 1.000    1.067, 1.000    1.064, 1.002    1.047
0.95, 1.000    1.002, 1.000    1.001, 1.000    1.006, 1.000    1.015, 1.000    1.046, 1.000    1.058, 1.000    1.056, 1.000    1.067, 1.000    1.058, 1.002    1.051
0.9, 1.000    1.006, 1.000    1.003, 1.000    1.003, 1.000    1.015, 1.000    1.054, 1.000    1.058, 1.000    1.061, 1.000    1.064, 1.000    1.056, 1.001    1.056
0.5, 1.000    1.005, 1.000    1.005, 1.000    1.006, 1.000    1.018, 1.000    1.056, 1.000    1.059, 1.000    1.059, 1.000    1.066, 1.000    1.061, 1.001    1.054
0.1, 1.000    1.010, 1.000    1.010, 1.000    1.010, 1.000    1.018, 1.000    1.054, 1.000    1.062, 1.000    1.063, 1.000    1.066, 1.000    1.061, 1.001    1.059
0.05, 1.000    1.010, 1.000    1.011, 1.000    1.008, 1.000    1.024, 1.000    1.053, 1.000    1.058, 1.000    1.065, 1.000    1.064, 1.000    1.068, 1.001    1.062
0.03, 1.000    1.007, 1.000    0.990, 1.000    1.009, 1.000    1.019, 1.000    1.053, 1.000    1.060, 1.000    1.065, 1.000    1.071, 1.000    1.066, 1.001    1.057
0.01, 1.000    1.004, 1.000    1.007, 1.000    1.008, 1.000    1.019, 1.000    1.054, 1.000    1.060, 1.000    1.063, 1.000    1.071, 1.000    1.069, 1.001    1.063
0.005, 1.000    1.004, 1.000    1.008, 1.000    1.004, 1.000    1.014, 1.000    1.056, 1.000    1.061, 1.000    1.060, 1.000    1.064, 1.000    1.068, 1.001    1.067
0.001, 1.000    1.000, 1.000    1.008, 1.000    1.000, 1.000    1.015, 1.000    1.050, 1.000    1.056, 1.000    1.064, 1.000    1.067, 1.000    1.063, 1.000    1.067



LJ, t=2, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.003, 1.000    1.012, 1.000    1.086, 1.000    1.202, 1.000    1.242, 1.000    1.264, 1.000    1.279, 1.000    1.277, 1.000    1.289
0.95, 1.000    0.997, 1.000    1.006, 1.000    1.013, 1.000    1.081, 1.000    1.216, 1.000    1.247, 1.000    1.260, 1.000    1.286, 1.000    1.281, 1.000    1.287
0.9, 1.000    1.004, 1.000    1.005, 1.000    1.018, 1.000    1.084, 1.000    1.223, 1.000    1.251, 1.000    1.261, 1.000    1.288, 1.000    1.286, 1.000    1.292
0.5, 1.000    1.007, 1.000    1.013, 1.000    1.016, 1.000    1.087, 1.000    1.239, 1.000    1.268, 1.000    1.283, 1.000    1.305, 1.000    1.304, 1.000    1.312
0.1, 1.000    1.017, 1.000    1.020, 1.000    1.027, 1.000    1.094, 1.000    1.260, 1.000    1.289, 1.000    1.314, 1.000    1.335, 1.000    1.340, 1.000    1.343
0.05, 1.000    1.021, 1.000    1.024, 1.000    1.033, 1.000    1.111, 1.000    1.264, 1.000    1.298, 1.000    1.316, 1.000    1.335, 1.000    1.347, 1.000    1.358
0.03, 1.000    1.019, 1.000    1.026, 1.000    1.030, 1.000    1.111, 1.000    1.265, 1.000    1.302, 1.000    1.321, 1.000    1.346, 1.000    1.347, 1.001    1.356
0.01, 1.000    1.015, 1.000    1.031, 1.000    1.035, 1.000    1.113, 1.000    1.268, 1.000    1.301, 1.000    1.319, 1.000    1.351, 1.000    1.351, 1.001    1.362
0.005, 1.000    1.018, 1.000    1.025, 1.000    1.035, 1.000    1.111, 1.000    1.269, 1.000    1.302, 1.000    1.330, 1.000    1.352, 1.001    1.345, 1.001    1.357
0.001, 1.000    1.017, 1.000    1.028, 1.000    1.033, 1.000    1.108, 1.000    1.274, 1.000    1.308, 1.000    1.323, 1.001    1.339, 1.001    1.343, 1.002    1.345



LJ, t=4, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.012, 1.000    1.024, 1.000    1.129, 1.000    1.340, 1.000    1.382, 1.000    1.411, 1.000    1.436, 1.000    1.438, 1.000    1.452
