LJ, t=1, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.002, 1.000    0.984, 1.000    0.994, 1.000    1.045, 1.000    1.045, 1.000    1.055, 1.000    1.049, 1.000    1.055, 1.000    1.051
0.95, 1.000    1.005, 1.000    0.998, 1.000    1.002, 1.000    1.018, 1.000    1.038, 1.000    1.050, 1.000    1.049, 1.000    1.065, 1.000    1.028, 1.000    1.051
0.9, 1.000    1.001, 1.000    0.995, 1.000    1.001, 1.000    1.011, 1.000    1.047, 1.000    1.050, 1.000    1.047, 1.000    1.048, 1.000    1.046, 1.000    1.032
0.5, 1.000    1.002, 1.000    1.000, 1.000    0.986, 1.000    1.012, 1.000    1.042, 1.000    1.045, 1.000    1.050, 1.000    1.056, 1.000    1.039, 1.000    1.044
0.1, 1.000    1.005, 1.000    1.001, 1.000    1.005, 1.000    1.014, 1.000    1.021, 1.000    1.050, 1.000    1.057, 1.000    1.058, 1.000    1.054, 1.000    1.056
0.05, 1.000    1.007, 1.000    1.006, 1.000    1.005, 1.000    1.021, 1.000    1.045, 1.000    1.051, 1.000    1.053, 1.000    1.058, 1.000    1.056, 1.000    1.050
0.03, 1.000    1.000, 1.000    1.003, 1.000    1.005, 1.000    1.014, 1.000    1.044, 1.000    1.051, 1.000    1.055, 1.000    1.053, 1.000    1.053, 1.000    1.056
0.01, 1.000    1.004, 1.000    1.001, 1.000    1.004, 1.000    1.015, 1.000    1.049, 1.000    1.040, 1.000    1.055, 1.000    1.039, 1.000    1.055, 1.001    1.052
0.005, 1.000    1.002, 1.000    1.003, 1.000    1.005, 1.000    1.012, 1.000    1.049, 1.000    1.051, 1.000    1.056, 1.000    1.056, 1.000    1.056, 1.000    1.059
0.001, 1.000    1.003, 1.000    1.003, 1.000    1.000, 1.000    1.016, 1.000    1.045, 1.000    1.052, 1.000    1.053, 1.000    1.059, 1.000    1.054, 1.000    1.054



LJ, t=2, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.006, 1.000    1.008, 1.000    1.072, 1.000    1.211, 1.000    1.240, 1.000    1.258, 1.000    1.278, 1.000    1.286, 1.000    1.293
0.95, 1.000    0.993, 1.000    1.011, 1.000    1.011, 1.000    1.076, 1.000    1.219, 1.000    1.247, 1.000    1.258, 1.000    1.285, 1.000    1.284, 1.000    1.288
0.9, 1.000    0.999, 1.000    1.006, 1.000    1.019, 1.000    1.064, 1.000    1.220, 1.000    1.246, 1.000    1.261, 1.000    1.283, 1.000    1.286, 1.000    1.296
0.5, 1.000    0.997, 1.000    1.000, 1.000    1.016, 1.000    1.080, 1.000    1.236, 1.000    1.257, 1.000    1.273, 1.000    1.302, 1.000    1.302, 1.000    1.310
0.1, 1.000    1.012, 1.000    1.018, 1.000    1.015, 1.000    1.097, 1.000    1.254, 1.000    1.285, 1.000    1.313, 1.000    1.340, 1.000    1.342, 1.000    1.354
0.05, 1.000    1.009, 1.000    1.015, 1.000    1.026, 1.000    1.098, 1.000    1.255, 1.000    1.297, 1.000    1.320, 1.000    1.345, 1.000    1.354, 1.000    1.346
0.03, 1.000    1.006, 1.000    1.022, 1.000    1.017, 1.000    1.100, 1.000    1.262, 1.000    1.302, 1.000    1.321, 1.000    1.354, 1.000    1.357, 1.000    1.367
0.01, 1.000    1.016, 1.000    1.018, 1.000    1.029, 1.000    1.095, 1.000    1.258, 1.000    1.303, 1.000    1.327, 1.000    1.356, 1.000    1.370, 1.000    1.379
0.005, 1.000    1.018, 1.000    1.015, 1.000    1.023, 1.000    1.095, 1.000    1.265, 1.000    1.306, 1.000    1.326, 1.000    1.360, 1.000    1.369, 1.000    1.375
0.001, 1.000    1.016, 1.000    1.017, 1.000    1.021, 1.000    1.096, 1.000    1.260, 1.000    1.305, 1.000    1.331, 1.000    1.359, 1.000    1.371, 1.000    1.377



LJ, t=4, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.016, 1.000    1.021, 1.000    1.114, 1.000    1.343, 1.000    1.384, 1.000    1.420, 1.000    1.449, 1.000    1.449, 1.000    1.464
0.95, 1.000    1.008, 1.000    1.017, 1.000    1.019, 1.000    1.124, 1.000    1.337, 1.000    1.391, 1.000    1.410, 1.000    1.449, 1.000    1.454, 1.000    1.465
0.9, 1.000    1.004, 1.000    1.012, 1.000    1.030, 1.000    1.121, 1.000    1.346, 1.000    1.393, 1.000    1.420, 1.000    1.452, 1.000    1.458, 1.000    1.470
0.5, 1.000    1.013, 1.000    1.022, 1.000    1.033, 1.000    1.131, 1.000    1.361, 1.000    1.414, 1.000    1.445, 1.000    1.482, 1.000    1.491, 1.000    1.498
0.1, 1.000    1.022, 1.000    1.026, 1.000    1.041, 1.000    1.149, 1.000    1.395, 1.000    1.458, 1.000    1.500, 1.000    1.542, 1.000    1.553, 1.000    1.573
0.05, 1.000    1.023, 1.000    1.029, 1.000    1.039, 1.000    1.153, 1.000    1.394, 1.000    1.466, 1.000    1.506, 1.000    1.560, 1.000    1.582, 1.000    1.594
0.03, 1.000    1.018, 1.000    1.028, 1.000    1.043, 1.000    1.143, 1.000    1.399, 1.000    1.477, 1.000    1.513, 1.000    1.568, 1.000    1.583, 1.000    1.603
0.01, 1.000    1.022, 1.000    1.030, 1.000    1.036, 1.000    1.139, 1.000    1.409, 1.000    1.476, 1.000    1.522, 1.000    1.580, 1.000    1.601, 1.000    1.618
0.005, 1.000    1.024, 1.000    1.029, 1.000    1.040, 1.000    1.143, 1.000    1.410, 1.000    1.485, 1.000    1.530, 1.000    1.584, 1.000    1.603, 1.000    1.631
