LJ, t=1, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
0.95, 1.000    1.000, 1.000    1.011, 1.000    1.023, 1.000    1.135, 1.000    1.394, 1.000    1.466, 1.000    1.484, 1.000    1.533, 1.000    1.539, 1.000    1.551
0.9, 1.000    1.002, 1.000    1.011, 1.000    1.023, 1.000    1.140, 1.000    1.396, 1.000    1.470, 1.000    1.498, 1.000    1.536, 1.000    1.538, 1.000    1.555
0.5, 1.000    1.009, 1.000    1.009, 1.000    1.027, 1.000    1.134, 1.000    1.410, 1.000    1.493, 1.000    1.530, 1.000    1.575, 1.000    1.583, 1.000    1.592
0.1, 1.000    1.017, 1.000    1.019, 1.000    1.029, 1.000    1.158, 1.000    1.463, 1.000    1.551, 1.000    1.597, 1.000    1.656, 1.000    1.663, 1.000    1.687
0.05, 1.000    1.017, 1.000    1.024, 1.000    1.026, 1.000    1.158, 1.000    1.461, 1.000    1.562, 1.000    1.609, 1.000    1.668, 1.000    1.683, 1.001    1.700
0.03, 1.000    1.015, 1.000    1.021, 1.000    1.037, 1.000    1.162, 1.000    1.464, 1.000    1.570, 1.000    1.610, 1.000    1.676, 1.000    1.697, 1.001    1.717
0.01, 1.000    1.011, 1.000    1.027, 1.000    1.035, 1.000    1.168, 1.000    1.482, 1.000    1.571, 1.000    1.634, 1.000    1.689, 1.000    1.711, 1.002    1.716
0.005, 1.000    1.017, 1.000    1.045, 1.000    1.038, 1.000    1.161, 1.000    1.487, 1.000    1.577, 1.000    1.626, 1.000    1.689, 1.001    1.713, 1.002    1.720
0.001, 1.000    1.015, 1.000    1.042, 1.000    1.037, 1.000    1.162, 1.000    1.478, 1.000    1.574, 1.000    1.632, 1.001    1.691, 1.001    1.711, 1.009    1.684



LJ, t=16, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.006, 1.000    1.024, 1.000    1.155, 1.000    1.441, 1.000    1.497, 1.000    1.528, 1.000    1.560, 1.000    1.570, 1.000    1.582
0.95, 1.000    0.998, 1.000    1.012, 1.000    1.027, 1.000    1.161, 1.000    1.439, 1.000    1.510, 1.000    1.528, 1.000    1.567, 1.000    1.579, 1.000    1.581
0.9, 1.000    0.994, 1.000    1.013, 1.000    1.027, 1.000    1.154, 1.000    1.445, 1.000    1.500, 1.000    1.540, 1.000    1.568, 1.000    1.574, 1.000    1.592
0.5, 1.000    1.010, 1.000    1.023, 1.000    1.030, 1.000    1.166, 1.000    1.466, 1.000    1.535, 1.000    1.575, 1.000    1.612, 1.000    1.610, 1.000    1.631
0.1, 1.000    1.025, 1.000    1.035, 1.000    1.045, 1.000    1.183, 1.000    1.513, 1.000    1.592, 1.000    1.633, 1.000    1.694, 1.000    1.698, 1.000    1.723
0.05, 1.000    1.026, 1.000    1.030, 1.000    1.048, 1.000    1.192, 1.000    1.521, 1.000    1.599, 1.000    1.653, 1.000    1.702, 1.000    1.722, 1.001    1.740
0.03, 1.000    1.016, 1.000    1.038, 1.000    1.051, 1.000    1.192, 1.000    1.522, 1.000    1.611, 1.000    1.659, 1.000    1.711, 1.001    1.734, 1.003    1.739
0.01, 1.000    1.013, 1.000    1.035, 1.000    1.050, 1.000    1.199, 1.000    1.537, 1.000    1.617, 1.000    1.670, 1.001    1.720, 1.001    1.745, 1.006    1.753
0.005, 1.000    1.033, 1.000    1.043, 1.000    1.058, 1.000    1.194, 1.000    1.531, 1.000    1.624, 1.000    1.670, 1.001    1.720, 1.003    1.718, 1.008    1.715
0.001, 1.000    1.023, 1.000    1.046, 1.000    1.059, 1.000    1.194, 1.000    1.535, 1.001    1.615, 1.000    1.675, 1.002    1.719, 1.003    1.735, 1.016    1.706



LJ, t=32, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.001, 1.001    0.814, 1.000    1.150, 1.000    1.486, 1.000    1.533, 1.000    1.571, 1.000    1.651, 1.000    1.637, 1.000    1.655
0.95, 1.000    1.001, 1.000    1.027, 1.000    1.039, 1.000    1.178, 1.000    1.453, 1.000    1.578, 1.000    1.568, 1.000    1.628, 1.000    1.669, 1.000    1.666
0.9, 1.000    1.007, 1.000    1.017, 1.000    1.016, 1.000    1.167, 1.000    1.493, 1.000    1.542, 1.000    1.619, 1.000    1.636, 1.000    1.653, 1.000    1.653
0.5, 1.000    1.017, 1.000    1.042, 1.000    1.046, 1.000    1.174, 1.000    1.544, 1.000    1.627, 1.000    1.670, 1.000    1.678, 1.000    1.740, 1.000    1.713
0.1, 1.000    1.039, 1.000    1.058, 1.000    1.051, 1.000    1.207, 1.000    1.615, 1.000    1.710, 1.000    1.731, 1.001    1.872, 1.001    1.900, 1.001    1.868
0.05, 1.000    1.037, 1.001    0.972, 1.000    1.070, 1.000    1.236, 1.000    1.641, 1.000    1.736, 1.000    1.818, 1.001    1.925, 1.002    1.912, 1.002    1.921
0.03, 1.000    1.040, 1.000    1.062, 1.000    1.071, 1.000    1.226, 1.000    1.651, 1.000    1.753, 1.001    1.775, 1.001    1.921, 1.004    1.959, 1.004    1.974
0.01, 1.000    1.037, 1.000    1.066, 1.000    1.079, 1.000    1.232, 1.000    1.654, 1.000    1.741, 1.001    1.854, 1.002    1.953, 1.007    1.974, 1.019    2.002
0.005, 1.000    1.042, 1.000    1.065, 1.000    1.074, 1.000    1.237, 1.000    1.642, 1.001    1.763, 1.001    1.833, 1.004    1.916, 1.005    1.966, 1.021    1.971
0.001, 1.000    1.032, 1.000    1.054, 1.000    1.080, 1.000    1.230, 1.001    1.638, 1.002    1.763, 1.001    1.849, 1.008    1.924, 1.008    2.004, 1.040    1.925



LJ, t=64, c=3

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.010    1.185, 1.000    1.013, 1.000    1.131, 1.000    1.343, 1.000    1.436, 1.000    1.436, 1.001    1.441, 1.001    1.442, 1.001    1.478
0.95, 1.000    0.996, 1.000    1.033, 1.000    1.039, 1.000    1.174, 1.000    1.410, 1.000    1.455, 1.000    1.429, 1.001    1.474, 1.001    1.485, 1.001    1.480
0.9, 1.000    0.980, 1.000    1.042, 1.000    1.009, 1.000    1.146, 1.000    1.359, 1.000    1.442, 1.000    1.475, 1.001    1.512, 1.001    1.540, 1.001    1.553
0.5, 1.000    0.999, 1.000    1.063, 1.000    1.012, 1.000    1.141, 1.000    1.368, 1.000    1.456, 1.000    1.504, 1.001    1.505, 1.001    1.545, 1.002    1.569
0.1, 1.000    1.028, 1.000    1.066, 1.000    1.048, 1.000    1.217, 1.000    1.466, 1.001    1.525, 1.001    1.527, 1.002    1.597, 1.005    1.716, 1.016    1.601
0.05, 1.000    1.031, 1.000    1.054, 1.000    1.087, 1.000    1.258, 1.000    1.488, 1.002    1.511, 1.002    1.696, 1.010    1.672, 1.007    1.714, 1.015    1.673
0.03, 1.000    1.025, 1.000    1.078, 1.000    1.092, 1.000    1.248, 1.001    1.466, 1.001    1.535, 1.001    1.604, 1.006    1.744, 1.015    1.867, 1.020    1.611
0.01, 1.000    1.035, 1.000    1.065, 1.000    1.062, 1.000    1.218, 1.002    1.585, 1.002    1.623, 1.003    1.593, 1.007    1.715, 1.012    1.852, 1.000    0.020
0.005, 1.000    1.028, 1.000    1.077, 1.000    1.086, 1.000    1.205, 1.001    1.558, 1.002    1.689, 1.004    1.609, 1.018    1.772, 1.019    1.781, 1.051    1.685
0.001, 1.000    1.051, 1.000    1.074, 1.000    1.090, 1.000    1.240, 1.002    1.570, 1.006    1.711, 1.009    1.735, 1.016    1.712, 1.021    1.840, 1.104    1.546



